#{"t_start": 1707256679.4555738, "env_id": "MountainCarContinuous-v0"}
r,l,t
-52.882254,999,0.371122
-51.695246,999,0.731217
-51.585438,999,1.091723
-50.387548,999,1.45799
-50.419633,999,1.841964
-51.582801,999,2.247526
-51.298328,999,2.653312
-50.447146,999,3.061633
-51.897301,999,3.469694
-50.647869,999,3.871094
-51.686129,999,4.282843
-49.595042,999,4.672728
-53.320436,999,5.209683
-50.911914,999,5.588365
-51.956105,999,5.982217
-52.686491,999,6.394509
-52.078613,999,7.509048
-52.339327,999,8.186276
-50.774702,999,9.610048
55.242563,909,10.190058
70.179911,614,11.379964
-53.188288,999,12.03319
-52.152732,999,13.527113
60.711444,781,14.057523
63.447019,698,14.498455
82.224805,328,15.515651
58.778013,777,16.031879
73.857525,523,16.38215
71.428566,570,16.764374
81.296182,342,17.874701
75.442144,490,18.235045
71.992278,557,18.627042
63.954207,718,20.032276
84.163894,313,20.255055
83.655335,328,20.511261
82.203849,331,20.77381
87.587812,241,20.942931
72.715247,560,21.338701
75.567927,468,22.49178
75.238361,512,22.911789
81.497441,357,23.167573
90.247187,180,23.298541
84.248258,323,23.527144
85.138044,315,23.770816
82.936626,333,25.041459
89.08976,198,25.200357
87.092721,248,25.378045
75.687249,446,25.698303
84.297507,307,25.916535
85.120097,294,26.125908
77.748703,405,27.240958
91.699898,154,27.350079
82.558312,343,27.582028
84.92163,309,27.798193
83.264197,313,28.01533
88.890959,217,28.161742
83.598099,316,28.378042
86.744486,236,28.541385
85.331355,294,29.532609
75.239825,493,29.88086
91.365402,155,29.990375
85.598229,279,30.186517
88.413348,206,30.330508
87.597815,206,30.477918
87.145957,254,30.65557
87.775204,234,30.822263
86.119527,302,31.823724
88.284464,231,31.990854
85.552997,300,32.247419
83.735085,335,32.497832
83.652446,324,32.746571
80.70007,389,33.083175
85.158278,276,34.156837
82.703277,334,34.419991
90.928157,174,34.553391
86.550315,256,34.742184
87.827098,220,34.911302
85.403066,285,35.1243
89.424706,193,35.267847
80.707272,382,35.550551
90.006228,210,36.542054
87.1321,260,36.762059
85.196835,264,36.985269
89.74005,205,37.165344
90.487418,171,37.300251
85.752875,250,37.503124
87.01743,261,37.710893
81.887704,381,38.011546
87.15007,245,39.059474
89.791395,195,39.213266
86.962735,236,39.402397
90.096876,190,39.554892
89.472969,213,39.720396
86.472605,269,39.942597
84.490567,273,40.180332
82.972713,357,40.476276
90.835492,168,40.621092
90.082933,195,41.571138
87.117083,212,41.741232
90.255357,165,41.871805
87.18723,232,42.05683
86.52167,241,42.248469
92.30898,161,42.374711
91.190276,158,42.499585
91.681279,175,42.641766
86.860704,259,42.848478
90.45203,189,42.997925
88.631223,197,44.261571
91.490381,165,44.39872
87.947929,221,44.582646
90.507077,164,44.70999
89.497816,190,44.862717
88.357019,229,45.066151
88.94699,203,45.240778
88.389856,228,45.451716
88.237454,231,45.651706
91.17782,150,45.782671
91.699208,151,45.904865
89.171962,190,46.855988
91.455268,157,46.980473
93.370529,111,47.070242
89.277954,196,47.225839
91.859163,143,47.338005
90.5703,150,47.459261
91.847907,151,47.580062
93.274743,133,47.685587
86.697597,222,47.862942
91.538422,151,47.982522
89.224768,199,48.143591
91.08339,160,48.269429
88.29708,193,49.228698
93.205267,117,49.322654
90.572218,187,49.473255
88.721613,204,49.635603
89.355827,200,49.796237
90.429615,171,49.931633
92.382282,134,50.041132
90.110494,169,50.178134
89.451953,182,50.326527
92.899342,125,50.428111
91.46105,148,50.548934
91.378654,167,50.685282
90.872474,153,50.810921
91.081224,148,51.894028
90.937792,150,52.05921
92.658724,128,52.192885
92.346249,142,52.33858
90.955677,166,52.499882
91.381848,168,52.663082
90.822795,153,52.808717
93.207361,119,52.919826
89.989139,169,53.081568
87.517097,212,53.280138
89.239484,215,53.481738
91.867879,165,53.634377
89.910135,158,53.779915
89.719033,170,54.8465
94.194569,99,54.939234
89.506715,173,55.102794
92.271453,123,55.209049
92.459001,116,55.310344
92.486934,124,55.414972
91.145124,149,55.546354
87.926815,211,55.730392
88.529679,193,55.897511
90.89895,152,56.036316
93.098157,129,56.156685
93.030977,115,56.263776
94.322211,85,56.343031
90.080779,161,56.49547
92.279562,128,57.677242
92.357704,129,57.820492
87.843565,188,58.018322
89.227554,172,58.192854
92.101098,130,58.318262
89.594958,176,58.487445
90.922805,165,58.655684
91.189577,168,58.82486
90.620089,162,59.029477
90.529054,162,59.226275
91.060109,159,59.416973
92.020893,139,59.564722
89.28117,159,59.774982
92.425744,126,61.111425
91.076907,148,61.28942
89.995973,164,61.477588
94.191471,84,61.581628
89.510581,178,61.776866
94.648999,94,61.875679
89.891961,170,62.052538
92.012656,128,62.188879
91.159484,160,62.352549
93.397776,117,62.477521
93.026555,125,62.605369
91.246922,155,62.762983
93.981217,100,62.862731
89.354589,168,63.029791
89.111042,184,63.217656
89.173515,175,64.538419
91.342135,146,64.701535
92.821445,116,64.825386
90.002383,157,64.997658
92.667793,115,65.117266
90.588394,149,65.265139
94.294714,97,65.356041
92.03408,128,65.478949
94.802856,82,65.555125
91.133534,152,65.697855
90.751923,156,65.84666
92.918426,106,65.95054
90.897266,144,66.094786
89.001182,162,66.249495
90.516011,148,66.397017
87.865122,182,68.05228
91.841366,113,68.181123
90.212289,147,68.343824
92.61971,113,68.462663
90.618702,147,68.613357
92.791112,128,68.74818
94.546148,85,68.837783
93.56348,108,68.951439
88.909439,169,69.134681
89.995424,150,69.302482
88.082255,209,69.519333
90.176448,161,69.677547
92.012089,134,69.813403
92.493139,122,69.932299
86.31238,221,71.170271
93.274316,109,71.293726
88.733605,179,71.478857
91.882194,124,71.603712
91.880651,113,71.716002
90.63347,157,71.868184
89.086835,161,72.02422
94.111899,84,72.112059
88.442848,192,72.299135
92.119849,114,72.411225
92.165172,116,72.524242
90.46057,162,72.710167
90.012616,144,72.858506
91.487398,126,72.983547
88.268028,160,73.141137
94.496544,85,74.28064
90.723677,150,74.453981
93.693953,82,74.545325
91.773055,137,74.703263
93.336764,94,74.804608
94.205901,84,74.895483
94.214689,88,74.985858
91.387227,133,75.129611
92.297665,123,75.259761
94.012163,84,75.346389
94.640999,80,75.427509
91.431209,139,75.568979
94.178023,82,75.654793
92.566602,122,75.776349
89.628093,148,75.940235
87.804573,172,76.122413
89.283042,172,76.295166
89.500917,159,77.56329
94.104594,81,77.655787
92.592268,115,77.789372
94.281043,82,77.878929
94.242708,77,77.959032
93.555403,77,78.039493
90.150904,146,78.194912
94.595192,85,78.283996
94.160979,83,78.368852
89.653364,160,78.530724
94.170607,86,78.617993
91.522884,120,78.737146
94.197658,80,78.81741
91.742142,114,78.931145
94.613242,88,79.024723
88.944779,164,79.192887
94.396512,88,79.277477
88.488606,159,79.43498
92.75893,118,79.547644
93.823515,83,80.665771
93.42543,82,80.766974
93.582425,84,80.862045
89.846189,141,81.012784
93.966794,88,81.104918
94.464903,84,81.192929
89.717759,143,81.382398
94.215221,82,81.473516
91.565595,125,81.604412
93.643229,83,81.690018
94.288764,80,81.77319
91.901163,117,81.89324
94.317105,82,81.976675
94.147381,82,82.057901
93.544299,84,82.141018
94.387857,79,82.225536
94.052034,83,82.316305
93.964226,81,82.400391
93.294403,96,82.498374
91.278021,115,82.613169
94.688337,77,82.689793
94.009069,78,82.774141
93.060954,97,83.968111
93.944801,94,84.08308
93.06088,95,84.191791
93.514748,80,84.281491
93.844284,88,84.378837
94.056874,75,84.45849
92.905509,126,84.591005
87.962816,179,84.797881
91.754162,128,84.959827
91.82436,115,85.108264
92.316924,122,85.252461
90.330001,149,85.407154
91.49872,130,85.53949
93.992041,78,85.62019
94.181796,79,85.700064
90.752693,118,85.817117
94.4459,79,85.897148
90.636321,147,86.047332
94.265993,79,86.133389
94.620494,81,87.384046
94.245645,84,87.489575
89.862347,156,87.676927
90.904476,123,87.818319
93.881794,80,87.900742
91.507016,123,88.039716
94.455955,81,88.132514
94.121866,79,88.218714
93.498009,99,88.320244
90.407345,143,88.466244
94.164809,81,88.55127
93.923704,88,88.640751
93.658488,92,88.731902
94.617801,79,88.808843
89.517655,161,88.986098
91.972832,123,89.125792
88.85819,155,89.30906
91.730944,122,89.451587
92.032402,109,89.571938
91.825593,116,90.724823
92.405912,118,90.856771
93.925929,77,90.942189
91.555681,130,91.082971
94.103003,85,91.171437
91.996915,119,91.296196
89.77791,146,91.441452
92.395644,107,91.551083
93.982425,89,91.649086
94.265335,85,91.735707
91.60162,113,91.852189
91.573033,113,91.969027
93.860129,88,92.072076
93.923141,87,92.167809
94.235262,85,92.262502
88.969036,155,92.430743
94.506379,79,92.508746
94.298773,78,92.60389
94.386787,84,92.700616
93.610523,88,92.804697
92.072724,121,94.51966
91.686492,111,94.649602
90.232823,159,94.846859
94.470947,81,94.94574
92.410202,107,95.073722
91.748386,118,95.207108
94.01025,91,95.30351
92.158215,117,95.427198
89.220627,162,95.595954
93.672415,88,95.684113
92.499713,117,95.806607
89.667189,157,95.962938
92.23747,110,96.072302
92.551334,113,96.192325
94.161903,86,96.282327
94.28872,83,96.378048
94.025964,84,96.468673
94.307252,93,96.583431
91.044592,133,97.934013
91.833919,115,98.078358
91.488472,122,98.220401
90.267968,145,98.386391
94.160701,82,98.473231
94.332991,79,98.558672
90.877312,128,98.700989
93.92459,85,98.795303
89.459814,147,98.958835
92.235422,114,99.086029
92.263141,111,99.232123
94.664423,76,99.320148
92.399572,111,99.440965
93.766266,84,99.532784
94.246207,79,99.619779
93.978791,85,99.708727
92.494003,113,99.832829
92.149062,118,99.956216
92.182913,114,100.076988
94.111579,83,100.167966
93.675035,88,101.417555
91.733893,109,101.549894
93.558797,90,101.672173
93.985856,76,101.761935
93.927115,86,101.858442
91.758148,111,101.993086
92.256235,106,102.114273
93.670072,81,102.203874
93.619598,88,102.302789
94.149769,79,102.396942
93.934908,82,102.512477
93.411818,104,102.634823
93.620653,83,102.728743
91.636486,109,102.84942
91.572079,136,103.002355
94.527253,82,103.089409
93.666825,87,103.1802
92.202062,112,103.302615
91.807182,115,103.427614
93.780939,84,103.520483
93.125602,99,103.631972
93.360859,89,104.789234
94.192891,79,104.890321
93.928957,82,105.010935
94.459925,80,105.116052
94.049686,76,105.218073
91.463343,133,105.385316
93.947683,91,105.495469
94.362542,76,105.58083
93.805157,78,105.670919
91.377334,112,105.795129
94.361775,81,105.882292
91.906715,112,106.001567
93.831401,82,106.089309
94.492959,77,106.168356
93.827028,78,106.249908
93.364693,92,106.34706
91.151799,115,106.468459
91.255496,107,106.591309
93.795023,91,106.697268
91.578542,119,106.833007
93.810883,79,106.920937
94.108399,85,107.015549
93.894419,78,107.101406
94.204552,77,108.338195
94.115851,90,108.455307
93.9588,77,108.545273
94.02928,77,108.632188
93.570237,81,108.721758
93.845721,78,108.807801
93.727989,93,108.907189
91.492539,116,109.06666
89.236601,151,109.239295
91.278368,124,109.402889
93.934612,86,109.507701
92.179842,112,109.640049
91.314606,115,109.776061
91.024126,116,109.905705
91.851864,110,110.026543
94.021535,78,110.117882
90.404132,147,110.28092
92.264226,109,110.404536
93.821263,78,110.490671
93.761118,81,110.579954
93.807786,79,111.678756
93.765874,81,111.785582
94.395756,81,111.892562
91.668184,118,112.040123
94.176126,74,112.125478
92.224961,116,112.258955
89.099402,158,112.441854
94.055381,81,112.534626
91.323148,130,112.683609
94.057374,79,112.771566
93.618763,90,112.870526
93.759789,82,112.960356
93.724494,77,113.047652
94.379477,76,113.12914
93.331472,80,113.217884
93.906288,78,113.306308
93.357533,85,113.400777
94.068275,80,113.489679
94.52356,79,113.577188
93.433799,79,113.664256
93.916726,77,113.74414
93.644724,86,113.837163
91.86832,119,113.973253
93.763781,86,115.259761
93.337899,88,115.368796
90.141156,153,115.551316
93.90036,85,115.660078
92.06933,113,115.798937
91.633757,107,115.92585
92.997539,94,116.033154
93.1339,100,116.143259
90.070821,147,116.304485
89.709051,151,116.470797
93.390164,76,116.555217
94.291466,77,116.640791
94.359936,84,116.733316
89.509203,157,116.905764
94.28146,77,116.990773
94.129003,78,117.079275
93.694376,80,117.169113
91.934351,110,117.288703
91.496935,119,117.436381
93.243946,94,118.664861
93.729569,80,118.769417
94.065019,80,118.868375
89.597772,156,119.057789
93.741726,80,119.150451
93.780282,95,119.25811
94.139217,74,119.341939
94.169641,77,119.426461
93.900455,80,119.512091
93.746392,76,119.595694
92.715263,119,119.726392
93.952172,77,119.807394
93.33098,96,119.911089
93.531248,83,120.001089
93.862853,76,120.086223
93.77498,80,120.174515
94.198014,78,120.2593
93.672543,90,120.355596
93.368223,84,120.445014
94.36383,77,120.527684
94.247612,76,120.612417
92.057253,109,120.730413
92.249505,112,120.851972
91.956749,125,122.489746
94.347042,80,122.59362
94.098122,75,122.682848
93.330828,82,122.781644
93.846359,80,122.875489
93.26525,86,122.972597
93.310982,83,123.066662
93.906316,80,123.155205
94.222247,79,123.241101
94.238724,76,123.323139
94.143753,78,123.404156
93.593612,81,123.492426
94.122572,76,123.575734
93.499313,80,123.662905
93.910974,82,123.75164
94.317134,79,123.836252
93.7789,77,123.913742
93.773852,81,124.003556
93.482176,82,124.094055
93.98135,77,124.178044
93.555201,88,124.272099
93.664115,82,124.358804
93.893736,76,124.437923
93.365252,88,124.529424
93.651101,76,124.610453
93.862866,77,124.693318
94.328957,76,125.810743
93.968043,79,125.910019
93.787614,79,126.00478
93.968014,82,126.10133
94.124084,76,126.187073
94.178721,78,126.271746
89.751611,160,126.449627
94.343898,79,126.536518
94.215795,76,126.619339
94.118133,80,126.706073
94.192406,76,126.784769
94.308299,75,126.865083
94.040325,74,126.945007
93.940925,78,127.028446
88.139405,171,127.210002
90.151705,149,127.367366
93.938434,77,127.451903
93.983611,78,127.54422
93.525668,110,127.666286
93.743218,75,127.749361
88.372674,163,127.930736
94.306189,82,129.040627
94.083339,88,129.157968
94.119492,77,129.251965
93.962622,78,129.34334
93.352839,87,129.444498
89.077793,170,129.638944
93.592981,85,129.73413
93.795149,76,129.819492
93.893741,77,129.9048
94.001932,85,129.998461
92.15618,118,130.128503
93.875869,78,130.212394
88.970506,170,130.395809
94.282699,76,130.47835
93.995336,78,130.562967
94.177914,74,130.644253
92.347697,115,130.767453
93.779623,74,130.848932
93.711446,78,130.932488
93.87675,77,131.015514
94.262454,76,131.098048
93.874049,78,131.18062
94.076042,77,131.264318
94.142415,79,132.363017
90.784466,131,132.533111
94.223582,77,132.650779
94.085832,84,132.757972
94.049823,75,132.853327
93.482235,96,132.968562
93.850188,81,133.06509
93.958596,78,133.156957
93.578601,81,133.247325
94.008871,74,133.328969
94.162253,81,133.418822
93.851344,77,133.505167
94.138124,73,133.588138
93.896694,79,133.674874
93.822026,76,133.753331
92.612275,115,133.880553
93.811152,77,133.962375
92.337025,112,134.091489
93.219132,87,134.186223
94.27582,76,134.265208
94.386558,76,134.347921
93.941176,77,134.43159
93.962337,73,134.511581
94.347113,76,134.596092
93.728406,80,135.700401
93.999877,78,135.803212
90.22151,139,135.977152
93.115957,85,136.079075
93.902299,78,136.170748
94.023418,79,136.261739
94.098555,87,136.360044
94.158798,77,136.446504
91.894435,123,136.583406
93.809342,76,136.667578
94.202031,75,136.751218
94.486773,78,136.833979
94.215775,79,136.918833
93.981242,78,137.004791
94.488541,79,137.091568
91.405103,118,137.21994
91.504103,108,137.339029
94.14457,78,137.425127
94.374588,77,137.51141
94.108353,76,137.599967
94.453985,78,137.688117
94.11736,77,137.774625
94.182455,83,137.869133
93.536318,80,137.956684
92.80778,107,139.102831
94.16286,80,139.204725
94.258774,75,139.295819
93.988261,79,139.387905
94.0519,72,139.472433
90.634076,140,139.634934
90.59927,144,139.793404
94.446908,75,139.876679
93.962532,75,139.960157
93.877291,87,140.058626
94.08136,78,140.145509
94.143086,79,140.233584
94.139052,79,140.317961
92.452744,109,140.437347
94.296912,79,140.522407
92.608296,111,140.643377
94.518672,79,140.727869
94.198525,79,140.812017
94.261937,78,140.89843
93.968865,77,140.982799
94.028184,75,141.066547
93.856617,77,141.152459
94.016457,75,141.234344
94.067707,76,141.317299
94.356433,73,142.407394
94.117854,77,142.506744
94.286327,75,142.604271
94.522431,75,142.697346
91.54951,121,142.840366
92.172587,110,142.968771
93.682792,94,143.076563
94.291278,79,143.16734
91.71854,110,143.294276
94.401598,79,143.380062
93.823893,88,143.477922
94.165947,76,143.582327
91.787021,112,143.719468
89.107289,166,143.909562
94.499795,76,143.994655
93.600343,83,144.088994
94.013843,76,144.174685
93.975875,75,144.259264
93.85431,79,144.348291
94.313362,72,144.428584
94.808124,76,144.513065
92.200308,112,144.637274
94.11236,79,144.72272
92.003754,112,145.880477
91.89341,120,146.026789
94.137476,76,146.118483
94.461644,76,146.2087
93.935508,73,146.294994
94.073826,77,146.384271
94.46309,73,146.466666
90.936137,140,146.625678
94.557451,73,146.709805
93.44168,81,146.802474
94.234915,74,146.886019
93.893091,90,146.983785
93.838071,75,147.065306
94.773351,78,147.151663
94.016153,89,147.249579
94.027066,76,147.334668
93.95698,92,147.436666
92.20254,111,147.568294
90.721754,151,147.759112
