#{"t_start": 1707256848.668985, "env_id": "MountainCarContinuous-v0"}
r,l,t
-51.877089,999,0.449345
-50.457038,999,0.883874
-47.114403,999,2.072063
-45.080455,999,2.515695
-44.568125,999,4.052008
-43.92397,999,4.682985
-39.437901,999,6.41649
-41.697085,999,7.017484
-36.339859,999,8.61583
-36.928227,999,9.190613
-32.960503,999,10.828084
74.800078,793,11.328991
68.872205,971,12.987592
80.238522,605,13.372562
79.563223,635,13.734123
79.289051,675,15.168788
-31.867575,999,15.74385
77.895998,685,16.133344
84.249339,496,17.51412
80.306822,574,17.850919
83.758398,479,18.142869
84.722436,455,18.402415
85.110951,468,19.687882
86.379888,418,19.934898
85.809774,404,20.177846
78.962341,625,20.52815
83.200607,540,21.872848
86.106545,406,22.123006
89.58545,295,22.29617
86.845507,394,22.551008
89.211762,284,22.723011
88.489872,326,22.909209
84.950504,459,24.249857
85.871429,419,24.492322
88.551093,315,24.667274
89.680118,301,24.836795
89.573163,299,25.005065
83.164695,498,26.306413
90.946766,241,26.463503
89.353781,315,26.652459
90.752485,267,26.805583
92.584808,208,26.934186
88.274628,343,27.140062
91.84639,243,27.301923
87.661589,339,28.594236
90.475667,249,28.774562
90.736116,259,28.952431
92.44506,235,29.133727
89.557192,304,29.334671
91.296711,247,29.494867
87.900779,335,29.704699
90.51578,278,29.874429
89.786902,259,31.139651
89.481294,297,31.328051
88.213209,351,31.534968
89.851841,290,31.703949
87.651889,391,31.923922
88.52709,310,32.099436
91.784473,232,33.251728
89.732205,283,33.439154
89.52877,290,33.622468
85.803676,422,33.875416
89.601184,285,34.042346
91.998598,245,34.179672
90.208944,235,34.313876
84.408641,410,35.569227
91.516815,224,35.712691
92.050221,234,35.868898
91.38494,240,36.025659
90.224386,256,36.201274
90.040893,247,36.361924
91.434733,211,36.492624
87.598311,321,36.686718
92.551188,188,37.846959
90.951225,239,38.005597
90.668218,227,38.147295
93.846989,153,38.236812
93.958867,162,38.33326
91.709593,211,38.462961
91.452428,180,38.570963
90.435441,220,38.703716
89.464663,218,38.828906
93.204434,147,38.916679
91.872838,186,39.033702
91.622405,243,40.252384
91.685565,221,40.401128
91.720641,184,40.515752
90.660574,210,40.641901
88.992392,288,40.812419
90.230396,244,40.952467
90.447154,255,41.090945
92.482011,204,41.208577
90.538075,233,42.384514
94.20087,149,42.498173
93.577224,151,42.605051
93.708893,151,42.707247
94.177398,155,42.80805
85.27684,370,43.04071
93.533523,159,43.141064
92.637805,175,43.246339
89.285141,238,43.389311
94.428763,144,43.472895
89.131378,259,43.622506
