#{"t_start": 1707258442.648031, "env_id": "Swimmer-v4"}
r,l,t
-9.892034,1000,0.539251
4.04501,1000,1.059175
19.557571,1000,2.350919
17.518921,1000,2.887391
26.587019,1000,4.192349
25.00364,1000,4.723853
31.453985,1000,6.007261
15.722295,1000,6.542476
21.721227,1000,7.863488
21.729775,1000,8.407761
22.709461,1000,9.723542
24.614235,1000,10.273309
21.046554,1000,11.597834
20.694353,1000,12.15937
25.103747,1000,13.509075
25.629439,1000,14.074567
24.822083,1000,15.408299
25.017723,1000,15.960317
24.766002,1000,17.298131
33.613971,1000,17.856899
29.524924,1000,19.19913
31.862365,1000,19.756882
31.324054,1000,21.102183
33.411635,1000,21.665584
28.638002,1000,23.025315
30.999321,1000,23.587535
32.735954,1000,24.928619
36.516735,1000,25.490296
32.293886,1000,26.837476
33.190144,1000,27.409448
30.990311,1000,28.763428
34.871563,1000,29.339634
34.585848,1000,30.684736
36.688558,1000,31.249817
32.35946,1000,32.67738
29.694605,1000,33.2728
36.966235,1000,34.677998
34.133599,1000,35.271291
34.24987,1000,36.710333
38.942629,1000,37.303347
34.170215,1000,38.695597
40.433616,1000,39.315982
37.607607,1000,39.902643
37.934344,1000,41.449568
40.611465,1000,42.140006
42.255804,1000,43.739099
34.354351,1000,44.397253
35.95987,1000,46.275512
37.963746,1000,46.938406
36.388142,1000,48.596303
37.295026,1000,49.264277
39.506773,1000,50.975013
38.570166,1000,51.579074
35.105686,1000,53.300078
37.160372,1000,53.971951
38.876088,1000,55.470329
37.523734,1000,56.089045
37.614248,1000,58.006427
37.386094,1000,58.668902
36.52351,1000,60.32299
38.452976,1000,61.003629
37.069378,1000,62.667988
37.944229,1000,63.29165
40.404176,1000,64.862691
39.786669,1000,65.474216
39.863997,1000,67.290133
40.820798,1000,68.064025
40.060906,1000,69.568713
39.746838,1000,70.1657
40.355246,1000,71.65613
37.647873,1000,72.258744
40.357261,1000,74.134679
43.09197,1000,75.06732
38.406368,1000,76.623392
38.861701,1000,77.254766
40.363644,1000,79.299283
39.696069,1000,80.099908
38.125497,1000,82.013996
40.464631,1000,82.686618
41.100569,1000,84.525558
39.91922,1000,85.211625
43.830343,1000,86.891397
40.676563,1000,87.568383
44.335193,1000,89.119599
40.659421,1000,89.765819
43.947951,1000,90.373608
43.371851,1000,91.968725
38.895775,1000,92.585939
41.806448,1000,94.229591
42.183846,1000,94.843142
36.478047,1000,96.573815
43.378301,1000,97.183553
42.577285,1000,98.8293
40.475881,1000,99.514341
42.148773,1000,101.031018
42.139722,1000,101.628734
40.071736,1000,103.189054
41.970683,1000,103.777187
44.349986,1000,105.588535
38.363982,1000,106.21072
