#{"t_start": 1707258203.717358, "env_id": "Swimmer-v4"}
r,l,t
-5.138178,1000,0.455693
13.126018,1000,0.902842
-16.382833,1000,1.349696
31.895012,1000,1.800548
9.21185,1000,2.25896
3.406391,1000,2.718536
-18.126953,1000,3.183704
-8.777346,1000,3.655279
5.663837,1000,4.136245
-27.492699,1000,4.62177
-8.328639,1000,5.116522
-4.2703,1000,5.62073
2.18814,1000,6.162914
0.520745,1000,6.729089
-8.303129,1000,7.306632
-7.868627,1000,7.892203
19.255282,1000,9.191858
-2.665737,1000,10.035379
17.872287,1000,11.658837
12.910705,1000,12.53565
9.021888,1000,14.306512
4.368406,1000,15.233571
20.756973,1000,16.961334
38.339438,1000,17.927701
13.215975,1000,19.694546
8.131166,1000,20.66857
29.571778,1000,22.454831
29.230647,1000,23.45776
11.187067,1000,25.286735
-6.826866,1000,26.317881
34.832896,1000,28.141107
26.512048,1000,29.196686
27.241419,1000,31.535537
-9.415432,1000,32.592751
13.587897,1000,34.455678
43.631411,1000,35.55137
30.819551,1000,37.445302
28.662526,1000,38.550613
22.828023,1000,40.48416
32.625073,1000,41.628151
24.162598,1000,43.621682
33.524955,1000,44.779907
5.689201,1000,46.806736
20.108786,1000,48.048989
15.100331,1000,50.055295
43.107689,1000,51.242565
36.295768,1000,53.264985
42.51426,1000,54.538673
48.792108,1000,57.379791
27.842277,1000,58.692027
14.99637,1000,60.814961
37.115206,1000,62.113892
42.511205,1000,64.323581
52.957463,1000,65.67198
48.899136,1000,67.850012
53.766804,1000,69.2688
