#{"t_start": 1707256473.78481, "env_id": "MountainCarContinuous-v0"}
r,l,t
-51.507103,999,0.451086
-49.80673,999,0.879391
-49.652493,999,1.30241
-51.432735,999,1.730443
-53.454635,999,2.158469
-51.727282,999,2.584048
61.162744,750,2.904981
-51.401072,999,3.347125
-51.025027,999,3.78283
-52.468744,999,4.223689
-52.597594,999,4.657156
-54.780606,999,5.096852
-51.250107,999,5.538457
-52.54189,999,5.995064
-52.18977,999,6.440886
-51.311397,999,6.894722
53.688748,921,7.979696
-50.22852,999,8.760307
-50.619247,999,10.60297
-53.425994,999,11.350809
-49.729136,999,13.293272
-49.139907,999,14.157642
-53.093465,999,16.060679
50.105411,976,16.89672
50.501527,934,19.022558
-53.338076,999,19.88834
74.328035,497,21.462821
50.701586,979,22.350089
74.978945,504,22.748342
55.347606,887,24.506173
78.48108,411,24.855181
67.162211,653,25.406979
75.0859,466,25.778857
73.176518,539,27.370217
85.010506,307,27.677409
79.980404,389,28.022345
79.874509,393,28.334145
81.739398,397,28.646822
86.812984,242,30.076773
73.411452,513,30.588543
75.979384,474,31.002435
79.607231,387,31.319715
86.539195,254,31.525086
71.942146,550,32.947272
70.782258,583,33.447469
78.262924,419,33.845675
77.515019,465,34.250598
82.433763,346,34.538356
86.57726,293,35.905256
70.417817,558,36.467711
69.606777,615,37.003371
81.08231,358,37.332721
78.021657,416,38.706748
85.316105,287,38.976953
87.568791,247,39.189224
77.027564,433,39.587415
80.950586,372,39.919957
84.471181,325,40.270404
77.581829,464,41.789812
81.753224,389,42.139294
85.121935,296,42.394983
86.284529,274,42.62511
83.641006,329,42.897341
75.201089,522,44.338383
79.832563,383,44.719202
84.086966,341,45.029922
79.32529,412,45.389648
79.027078,419,45.748381
70.357564,556,47.283733
84.263165,303,47.587408
81.800131,358,47.939973
83.770008,287,48.193735
83.056226,327,48.491648
89.271513,200,48.691302
86.472552,255,48.928834
87.977817,223,50.235049
84.51679,316,50.604157
91.265335,175,50.799844
88.266235,238,51.032342
89.135702,207,51.229592
89.677542,204,51.435638
87.265229,248,51.662554
86.435797,247,51.88172
90.503556,172,52.036937
88.959728,200,52.208743
85.752969,277,53.733875
89.105104,211,53.952481
83.764003,343,54.300692
86.037267,252,54.545694
89.98397,192,54.743306
90.93451,168,54.905532
85.282686,284,55.165178
82.032726,344,55.48402
86.16156,284,56.796563
87.352415,245,57.061059
87.07284,245,57.294814
89.328115,215,57.488925
89.186866,218,57.681428
89.288613,209,57.863569
88.094127,206,58.040594
88.603531,198,58.216108
87.56567,221,58.407121
88.987201,205,59.677927
89.976152,208,59.9176
90.858393,161,60.074466
89.167152,199,60.257474
86.774915,262,60.488138
91.781228,136,60.605418
87.147918,240,60.811593
90.166239,185,60.969426
89.936163,207,61.14558
91.063445,170,61.28966
88.832654,204,62.469399
88.911518,207,62.682046
90.958422,174,62.861209
91.536035,156,63.04826
88.647123,209,63.273128
81.46882,344,63.581596
91.428272,166,63.729782
89.770499,202,63.942025
88.032209,207,64.148139
88.638967,218,64.35039
88.338788,206,65.63749
91.235328,156,65.814442
90.833115,166,65.98263
89.135778,200,66.17626
89.265501,184,66.347548
88.976355,195,66.525934
88.428348,208,66.713593
89.281299,208,66.89812
89.601915,188,67.061733
88.408803,253,67.289271
88.157386,207,68.504671
83.143311,323,68.904253
89.85238,199,69.139077
91.169037,166,69.322833
87.614013,214,69.545283
93.465138,122,69.66812
93.472598,113,69.779341
93.213508,119,69.896218
92.514802,152,70.04266
93.182807,114,70.152253
90.696482,185,70.329553
90.705737,180,70.502046
91.070214,159,71.691993
92.010851,150,71.863329
91.093459,150,72.022491
90.042328,179,72.202553
87.727809,227,72.425077
90.611099,189,72.621687
92.636738,127,72.754376
91.882836,169,72.916891
89.82343,200,73.115263
91.333976,154,73.267039
89.749062,193,73.476376
89.263229,205,73.68723
90.494969,169,74.931798
92.691993,120,75.064012
87.843837,209,75.283167
87.188409,227,75.515423
90.577139,153,75.664141
91.52054,150,75.811035
91.049266,153,75.957382
90.565751,186,76.134904
91.197372,148,76.283091
93.906841,110,76.395546
91.459909,148,76.546079
89.585633,181,76.721644
