#{"t_start": 1707258646.7545838, "env_id": "Swimmer-v4"}
r,l,t
20.002114,1000,0.466188
0.081773,1000,0.903769
21.570458,1000,1.359653
-3.828024,1000,1.832696
1.054386,1000,2.328182
6.953033,1000,2.8193
-6.014813,1000,3.297312
2.941291,1000,3.801771
-11.135408,1000,4.304347
-4.135343,1000,4.804755
5.66268,1000,5.299976
5.84738,1000,5.809207
14.79388,1000,6.350917
-2.242911,1000,6.926942
-9.66526,1000,7.514218
1.845439,1000,8.113913
-26.70599,1000,11.012755
-13.216171,1000,11.903471
6.19245,1000,13.582534
24.098791,1000,14.48382
36.089499,1000,16.205793
14.013879,1000,17.242636
5.803245,1000,19.047088
8.619053,1000,20.019711
12.201964,1000,21.807947
33.928119,1000,22.787583
-5.137616,1000,24.573854
41.572013,1000,25.634121
23.004564,1000,27.646922
15.639577,1000,28.722631
20.439008,1000,30.681665
29.310309,1000,31.850613
23.811982,1000,36.474481
24.970952,1000,37.686594
12.626438,1000,39.670832
12.446583,1000,40.863126
37.370349,1000,42.938159
47.183834,1000,44.158909
3.322844,1000,46.19269
30.886159,1000,47.410981
38.746463,1000,49.391473
12.570592,1000,50.741754
43.111309,1000,53.136341
25.397431,1000,54.447935
10.004837,1000,56.792822
2.39698,1000,58.195666
34.171792,1000,60.443731
29.323241,1000,61.766222
2.637709,1000,68.977254
11.390755,1000,70.293268
33.633289,1000,72.496508
36.801799,1000,73.790479
56.905594,1000,76.004041
45.936601,1000,78.026054
50.845558,1000,80.733835
54.905474,1000,82.238834
41.688025,1000,84.494401
38.772731,1000,86.047042
61.214749,1000,87.501832
49.354599,1000,90.182578
51.029169,1000,92.156187
51.953522,1000,94.71682
58.727232,1000,96.145403
41.954996,1000,98.627582
50.451308,1000,100.19539
47.067318,1000,109.699361
46.737394,1000,111.333949
58.675747,1000,113.899163
72.801941,1000,115.387089
70.156456,1000,118.0109
46.669444,1000,119.548368
54.250852,1000,122.283044
51.906816,1000,123.840819
62.762825,1000,126.596222
66.978463,1000,128.264975
39.472424,1000,130.913025
55.221263,1000,132.637107
59.536229,1000,135.399344
37.671474,1000,137.131389
31.362828,1000,139.91729
42.1124,1000,141.677009
48.056252,1000,153.878942
44.154934,1000,155.628052
43.128169,1000,158.43651
51.096582,1000,160.207777
55.94182,1000,163.133748
55.003208,1000,165.078801
48.550224,1000,168.162593
51.091531,1000,170.160796
58.535921,1000,173.419917
19.486592,1000,175.29232
37.864908,1000,178.340458
79.079118,1000,180.389517
74.908472,1000,183.273055
42.034395,1000,185.161754
34.939729,1000,188.066993
42.791274,1000,190.0167
38.121055,1000,204.288258
49.067939,1000,206.295383
52.9639,1000,209.144425
51.750159,1000,211.132603
44.209149,1000,213.144927
57.596377,1000,216.064583
55.103003,1000,217.962368
57.74939,1000,221.011595
44.109147,1000,222.938736
53.979729,1000,225.823315
45.853078,1000,227.778679
50.22907,1000,230.872755
45.740465,1000,233.038825
48.893779,1000,235.886758
28.436058,1000,237.947065
45.452507,1000,240.936824
49.395359,1000,242.792454
51.925786,1000,257.42787
34.404768,1000,259.332449
