#{"t_start": 1707259344.0240605, "env_id": "Swimmer-v4"}
r,l,t
-6.197097,1000,0.462629
7.549368,1000,0.924248
-1.624641,1000,1.387355
1.493725,1000,1.854568
10.577804,1000,2.329329
22.114851,1000,2.81108
1.717158,1000,3.301363
-0.879407,1000,3.799735
17.395912,1000,4.310223
2.670971,1000,4.821
11.435265,1000,5.339795
-14.925498,1000,5.867593
8.118131,1000,6.435093
1.431074,1000,7.021258
16.906196,1000,7.617352
0.705381,1000,8.223608
11.458419,1000,9.599969
-13.454567,1000,10.457991
-13.791821,1000,12.099052
13.220432,1000,12.991058
19.554738,1000,14.712775
12.131746,1000,15.640112
8.48825,1000,17.492058
-10.859876,1000,18.426636
20.704395,1000,20.319695
16.046263,1000,21.325485
25.666501,1000,23.253501
3.220658,1000,24.33086
19.497571,1000,26.203015
24.612833,1000,27.267893
25.472278,1000,29.110957
20.257702,1000,30.170325
15.663458,1000,32.563651
25.021295,1000,33.619284
14.303419,1000,35.531395
22.643576,1000,36.633157
24.495142,1000,38.667785
11.71945,1000,39.810484
11.016805,1000,41.869717
28.413229,1000,43.011553
25.647894,1000,45.238281
29.957055,1000,46.415596
43.364898,1000,48.651324
27.655531,1000,50.021305
41.440225,1000,52.599858
40.081218,1000,53.956649
45.196855,1000,56.448315
42.857403,1000,57.847136
41.922544,1000,61.582224
53.371814,1000,63.008612
20.177389,1000,65.418619
31.872706,1000,66.799244
35.721829,1000,69.144618
23.582737,1000,70.746838
49.142793,1000,73.477181
35.409252,1000,75.036876
32.341303,1000,77.629023
48.565698,1000,79.117106
57.835916,1000,80.625993
52.266705,1000,83.107466
35.419209,1000,84.5437
70.616446,1000,87.049907
84.471052,1000,88.504801
42.88361,1000,91.049371
48.893999,1000,92.572186
40.133604,1000,96.48001
17.149993,1000,97.985359
45.850165,1000,100.598306
36.798427,1000,102.276634
24.305264,1000,105.394918
26.250392,1000,107.017626
28.689644,1000,109.624654
46.680122,1000,111.256554
32.736033,1000,113.994813
47.96509,1000,115.745021
24.274436,1000,118.531279
30.967683,1000,120.134397
22.277603,1000,122.90876
31.09987,1000,124.698918
37.187045,1000,127.71819
45.780862,1000,129.737741
45.323541,1000,134.695464
45.769352,1000,136.661507
38.454481,1000,139.701278
47.330546,1000,141.693552
59.814903,1000,144.508446
45.351536,1000,146.383846
41.445307,1000,149.215694
44.750279,1000,151.075281
41.429547,1000,153.935255
46.609849,1000,155.812816
38.727666,1000,158.69126
41.213931,1000,160.601769
49.543276,1000,163.529138
22.271321,1000,165.443477
36.026126,1000,168.35721
28.923002,1000,170.283119
33.469781,1000,175.45283
31.792571,1000,177.413718
17.27413,1000,180.335808
28.384166,1000,182.315878
22.796979,1000,184.346626
32.780608,1000,187.456642
30.272115,1000,189.460972
32.75577,1000,192.667788
17.053741,1000,194.63376
38.209835,1000,197.666529
39.671727,1000,199.66367
38.523187,1000,202.959685
40.478826,1000,205.018269
42.890032,1000,208.143527
45.22683,1000,210.192009
34.744097,1000,213.350236
43.784731,1000,215.52026
41.128028,1000,221.555301
37.593428,1000,223.652593
