#{"t_start": 1707302794.3865151, "env_id": "Swimmer-v4"}
r,l,t
-0.009572,1000,0.828539
9.044279,1000,1.586565
-9.97827,1000,2.356426
-0.794796,1000,3.163428
6.821164,1000,3.962152
-5.588279,1000,4.768574
-2.198966,1000,5.60465
16.289992,1000,6.442093
11.057247,1000,7.651609
7.077487,1000,9.567367
-9.945428,1000,11.512716
32.111111,1000,13.500245
-20.690651,1000,15.478249
-2.70691,1000,17.46857
9.623226,1000,19.630265
-13.959847,1000,21.70591
-4.094857,1000,30.857708
8.304315,1000,33.103747
8.239611,1000,36.21619
19.136575,1000,37.686993
27.5763,1000,40.967185
22.750569,1000,42.61219
30.163781,1000,45.854524
29.498426,1000,48.066849
20.315331,1000,63.259489
9.053531,1000,66.504284
20.351323,1000,74.277399
21.937089,1000,75.863958
21.592028,1000,79.176165
27.393468,1000,81.16017
22.331301,1000,84.587309
33.379701,1000,86.584026
23.812,1000,112.191856
19.772923,1000,115.667664
23.221575,1000,119.644699
18.96916,1000,121.385891
23.140669,1000,124.7065
16.490045,1000,126.72145
30.525119,1000,130.091885
33.496411,1000,132.144691
27.394303,1000,145.440271
49.199546,1000,149.187762
21.211654,1000,158.993619
49.008095,1000,161.009544
63.413786,1000,164.3057
42.621255,1000,166.573126
24.549156,1000,170.294018
44.8333,1000,172.511984
39.300729,1000,194.802493
45.388161,1000,198.848453
69.895315,1000,204.273081
46.264546,1000,206.214176
38.27897,1000,209.69414
51.391024,1000,212.010538
47.562059,1000,215.745312
50.872421,1000,218.126115
39.096852,1000,238.850137
47.70124,1000,243.314259
56.128996,1000,246.540289
48.00336,1000,250.324523
50.654916,1000,252.6062
32.037711,1000,256.584919
63.427069,1000,259.115514
41.486504,1000,264.401861
53.742953,1000,268.524133
45.937822,1000,294.8919
30.982106,1000,296.962494
44.683844,1000,300.741994
46.661317,1000,303.379234
44.309484,1000,307.504184
55.882319,1000,310.596314
52.607841,1000,323.789849
50.346017,1000,328.358402
36.340993,1000,339.061541
53.390601,1000,341.408034
28.254082,1000,345.549732
47.70339,1000,348.328227
42.998188,1000,353.140512
44.37976,1000,358.161459
43.648451,1000,372.019578
50.368765,1000,377.661302
46.085667,1000,395.632404
-1.669051,1000,398.470799
51.357675,1000,403.091027
38.170903,1000,407.225277
51.458511,1000,418.82389
56.113088,1000,423.694391
54.475568,1000,432.884871
52.082627,1000,435.441714
43.0415,1000,439.889763
48.070785,1000,443.041453
53.22741,1000,448.040194
48.574778,1000,453.326281
64.211539,1000,465.97546
59.950982,1000,471.246692
59.269353,1000,480.01966
61.19789,1000,482.702545
58.496416,1000,499.350325
69.894315,1000,501.983127
69.826402,1000,506.438761
62.114292,1000,509.29737
58.548702,1000,511.988964
70.732369,1000,516.108513
63.030037,1000,519.045796
65.954204,1000,523.561509
76.492852,1000,526.44181
63.496066,1000,531.902488
78.328632,1000,534.767271
79.246839,1000,539.509902
73.073361,1000,542.860119
79.324759,1000,547.752636
62.657764,1000,550.862325
115.288183,1000,555.678886
47.392502,1000,558.671079
83.978719,1000,577.938917
81.093486,1000,581.088894
103.540952,1000,585.927515
68.833139,1000,589.210676
107.868913,1000,593.807992
61.134045,1000,596.817452
74.195244,1000,601.532346
58.325077,1000,604.627297
65.639031,1000,609.18833
54.099252,1000,612.365362
77.666983,1000,617.11133
67.938438,1000,620.360447
70.848199,1000,625.128305
70.208297,1000,628.477331
63.493566,1000,633.494392
64.000017,1000,638.878128
60.102516,1000,662.659855
77.976742,1000,666.274115
48.996607,1000,671.030677
78.2089,1000,674.325866
77.309609,1000,679.013828
76.250857,1000,682.276119
73.261486,1000,686.960925
59.225238,1000,690.408247
62.800324,1000,695.701908
58.813232,1000,699.362874
71.245909,1000,705.261682
65.949441,1000,709.149076
68.383937,1000,714.9338
67.97277,1000,718.576756
61.487208,1000,722.138506
66.406037,1000,727.770247
76.027414,1000,731.686857
69.888783,1000,759.509323
59.371658,1000,763.343132
75.142703,1000,768.99954
64.782425,1000,772.9778
60.135884,1000,778.403547
64.853239,1000,782.244818
68.199115,1000,788.319661
74.596098,1000,794.745845
64.914183,1000,802.233917
70.374368,1000,806.253531
86.354788,1000,811.590705
86.058755,1000,815.694589
78.886484,1000,821.674751
92.893987,1000,826.152961
80.915354,1000,831.935279
83.817969,1000,836.122704
73.131355,1000,866.792647
103.118731,1000,871.291661
78.76038,1000,877.443639
90.133622,1000,881.636052
85.666663,1000,887.583455
72.953382,1000,892.024897
65.44256,1000,898.103318
66.895918,1000,902.539667
77.0021,1000,908.542537
72.131205,1000,913.094574
74.433052,1000,919.517117
69.905359,1000,925.019311
103.225527,1000,931.502138
80.073169,1000,935.8574
84.22013,1000,941.736848
78.442482,1000,947.103536
87.932362,1000,991.108784
68.891344,1000,995.716867
86.266125,1000,1001.880825
79.707205,1000,1006.350859
90.861763,1000,1013.251604
69.20612,1000,1018.643411
87.013018,1000,1024.543187
130.432305,1000,1029.453848
124.383309,1000,1034.708612
139.746141,1000,1041.237283
128.328357,1000,1046.248483
98.311948,1000,1054.001748
154.387605,1000,1059.525286
194.689532,1000,1065.890297
201.624305,1000,1070.555142
160.226475,1000,1077.318644
77.929156,1000,1082.388958
124.283686,1000,1118.803513
133.244195,1000,1123.524099
114.317443,1000,1130.210483
88.440531,1000,1135.938073
