#{"t_start": 1707302794.3865151, "env_id": "Swimmer-v4"}
r,l,t
-0.009572,1000,0.828539
9.044279,1000,1.586565
-9.97827,1000,2.356426
-0.794796,1000,3.163428
6.821164,1000,3.962152
-5.588279,1000,4.768574
-2.198966,1000,5.60465
16.289992,1000,6.442093
11.057247,1000,7.651609
7.077487,1000,9.567367
-9.945428,1000,11.512716
32.111111,1000,13.500245
-20.690651,1000,15.478249
-2.70691,1000,17.46857
9.623226,1000,19.630265
-13.959847,1000,21.70591
-4.094857,1000,30.857708
8.304315,1000,33.103747
8.239611,1000,36.21619
19.136575,1000,37.686993
27.5763,1000,40.967185
22.750569,1000,42.61219
30.163781,1000,45.854524
29.498426,1000,48.066849
20.315331,1000,63.259489
9.053531,1000,66.504284
20.351323,1000,74.277399
21.937089,1000,75.863958
21.592028,1000,79.176165
27.393468,1000,81.16017
22.331301,1000,84.587309
33.379701,1000,86.584026
