#{"t_start": 1707252045.4106455, "env_id": "Pendulum-v1"}
r,l,t
-1710.514799,200,0.186011
-1390.001809,200,0.343277
-1266.004174,200,0.502384
-1505.026239,200,0.665241
-994.615984,200,0.815345
-1426.836716,200,0.970354
-895.999437,200,1.118605
-1002.575298,200,1.274226
-1822.685723,200,1.425419
-1086.89382,200,1.585709
-1198.247676,200,3.078526
-1309.418248,200,3.237089
-863.960437,200,3.396683
-967.133717,200,3.559191
-1324.417959,200,3.715745
-1448.262603,200,3.875383
-877.123508,200,4.027782
-1307.239398,200,4.188442
-1323.916962,200,4.34808
-1704.867316,200,4.501667
-858.629447,200,6.034672
-1682.93428,200,6.20059
-1346.942535,200,6.339654
-899.044104,200,6.474146
-1070.138766,200,6.619695
-901.60331,200,6.759749
-1357.91749,200,6.895366
-1281.273513,200,7.037138
-1112.204567,200,7.176018
-1307.036189,200,7.313379
-1224.770124,200,8.871551
-891.814229,200,9.031863
-902.529236,200,9.190259
-1072.002595,200,9.342042
-1641.406232,200,9.497153
-876.355766,200,9.65406
-910.352009,200,9.820354
-1040.796837,200,9.972697
-1332.893543,200,10.101282
-977.067489,200,10.234763
-785.669948,200,11.66716
-1101.48247,200,11.836121
-1052.520293,200,11.998978
-1112.420059,200,12.144976
-1158.304912,200,12.315287
-961.960774,200,12.462291
-1192.481412,200,12.636963
-994.625768,200,12.822197
-985.641071,200,12.972494
-1627.855782,200,13.121862
-1592.977606,200,13.267538
-1204.941141,200,14.780546
-1037.493889,200,14.909089
-987.048944,200,15.044591
-1028.733277,200,15.181601
-938.055741,200,15.31154
-958.805249,200,15.461517
-1039.425702,200,15.61563
-1107.889057,200,15.746867
-1189.355113,200,15.884585
-1327.488926,200,16.073763
-981.774379,200,17.587906
-1071.400056,200,17.714143
-1122.681159,200,17.851959
-1350.741924,200,17.981596
-1036.730887,200,18.108446
-771.156286,200,18.238814
-1369.20332,200,18.379642
-1080.167782,200,18.507677
-1038.625694,200,18.636847
-1095.324351,200,18.77141
-923.849495,200,20.260032
-989.873592,200,20.398418
-1164.611289,200,20.535177
-1021.242354,200,20.66737
-1099.021893,200,20.800273
-912.736276,200,20.946173
-1045.209309,200,21.08266
-1054.384302,200,21.217193
-1050.851432,200,21.354938
-1182.542691,200,21.487251
-1031.598322,200,23.054426
-993.238325,200,23.196068
-1494.584967,200,23.403218
-994.771929,200,23.565446
-836.017123,200,23.726275
-988.440011,200,23.882528
-887.300978,200,24.040709
-886.809925,200,24.18778
-774.583583,200,24.340794
-872.566479,200,24.487213
-963.70623,200,24.644971
-896.816341,200,26.136848
-1243.036422,200,26.263675
-750.276735,200,26.399101
-1711.83643,200,26.526733
-1061.575208,200,26.654644
-1167.70408,200,26.784114
-953.711892,200,26.914631
-1457.445095,200,27.049516
-893.181365,200,27.17802
-1069.783613,200,27.312659
-973.669605,200,28.774236
-858.821045,200,28.903596
-904.179908,200,29.034608
-985.230618,200,29.170048
-875.347978,200,29.295608
-909.05209,200,29.426554
-935.084793,200,29.555206
-1117.477984,200,29.697073
-1009.957128,200,29.845541
-991.296404,200,29.981907
-871.356373,200,31.44261
-1237.261261,200,31.570545
-902.095144,200,31.698351
-1423.19251,200,31.832237
-743.955266,200,31.962334
-918.433445,200,32.094029
-955.995084,200,32.221558
-1137.677767,200,32.358048
-1223.172538,200,32.48743
-995.718357,200,32.612978
-987.145074,200,34.072498
-930.921284,200,34.215362
-1030.229122,200,34.345601
-944.111178,200,34.470983
-876.318305,200,34.605337
-903.814706,200,34.736307
-895.985632,200,34.867694
-1023.122717,200,34.997899
-900.848993,200,35.133631
-895.486586,200,35.261479
-1157.627087,200,35.392943
-884.784713,200,36.852613
-932.143428,200,36.983296
-1258.627414,200,37.110669
-862.45851,200,37.245149
-982.187458,200,37.378034
-954.063366,200,37.505507
-980.441636,200,37.630533
-1646.704738,200,37.769887
-1019.314276,200,37.905988
-888.780625,200,38.035453
-1393.436251,200,39.504958
-1006.53237,200,39.641317
-789.583735,200,39.771443
-988.881287,200,39.897036
-889.156643,200,40.023437
-935.143125,200,40.156717
-1078.03045,200,40.296019
-1113.579186,200,40.422913
-1069.707046,200,40.554714
-1160.827973,200,40.68482
-1234.424824,200,42.163496
-983.045973,200,42.29811
-1215.014135,200,42.429943
-858.743268,200,42.55833
-882.09923,200,42.685806
-895.021695,200,42.827251
-778.044152,200,42.957856
-964.920482,200,43.086446
-879.018812,200,43.218632
-984.097126,200,43.366101
-989.529704,200,44.831463
-877.116131,200,44.9588
-1006.467705,200,45.092674
-966.446851,200,45.220126
-754.956894,200,45.351784
-1069.306006,200,45.481891
-863.783654,200,45.618691
-975.513365,200,45.748586
-1026.318031,200,45.874698
-977.335412,200,46.00839
-892.039658,200,46.139565
-751.581579,200,47.600082
-997.525369,200,47.72705
-870.075748,200,47.856691
-858.893895,200,47.98485
-1000.414756,200,48.112968
-960.081508,200,48.232642
-872.78738,200,48.376991
-774.523921,200,48.502895
-957.297417,200,48.630722
-1091.887706,200,48.751822
-840.303684,200,50.233949
-862.430436,200,50.364932
-837.657351,200,50.49566
-958.891206,200,50.626183
-857.086623,200,50.757517
-1034.731476,200,50.883451
-752.248128,200,51.009411
-761.722521,200,51.141322
-1079.699236,200,51.271212
-849.470699,200,51.394866
-736.160472,200,52.908924
-817.32567,200,53.035427
-760.999499,200,53.159809
-857.426302,200,53.294906
-995.902934,200,53.433716
-862.778869,200,53.564103
-1089.232503,200,53.691497
-765.301159,200,53.82413
-761.826497,200,53.952009
-964.655669,200,54.08134
-625.522923,200,55.540535
-633.092365,200,55.673297
-731.390679,200,55.808464
-649.625968,200,55.937271
-748.59114,200,56.066637
-749.49204,200,56.197175
-625.671229,200,56.324442
-1104.728589,200,56.454466
-738.810363,200,56.594046
-754.415907,200,56.722438
-629.48311,200,56.84774
-1032.718627,200,58.322446
-737.472938,200,58.456551
-637.011397,200,58.593162
-840.45824,200,58.719548
-757.559691,200,58.851689
-627.277931,200,58.981722
-738.806049,200,59.113512
-614.20339,200,59.237784
-822.931945,200,59.375182
-995.225629,200,59.504014
-701.638198,200,60.976874
-624.345571,200,61.11025
-500.587814,200,61.242242
-651.336164,200,61.368605
-819.464302,200,61.492974
-737.404116,200,61.635369
-624.489666,200,61.76627
-503.771591,200,61.893165
-502.342273,200,62.025987
-865.650049,200,62.156763
-766.613888,200,63.645741
-622.266546,200,63.778026
-623.478211,200,63.903547
-902.853741,200,64.028484
-505.34834,200,64.153223
-730.809641,200,64.286046
-506.013794,200,64.417367
-852.7916,200,64.542755
-773.682504,200,64.678532
-616.998162,200,64.81517
-861.438454,200,66.312925
-374.165842,200,66.443188
-628.719479,200,66.572799
-503.90662,200,66.709866
-491.98897,200,66.836957
-831.019896,200,66.971418
-606.784812,200,67.09931
-749.512624,200,67.227319
-631.678527,200,67.34971
-364.092686,200,67.481183
-867.294223,200,67.607312
-481.283152,200,69.100132
-613.020626,200,69.233967
-615.875728,200,69.364241
-366.474559,200,69.488692
-261.393844,200,69.620969
-410.12689,200,69.761368
-604.219423,200,69.88558
-364.288981,200,70.01022
-627.042073,200,70.142268
-382.526715,200,70.272158
-126.974248,200,71.761417
-247.290178,200,71.894511
-374.024056,200,72.027338
-265.744818,200,72.152356
-255.104494,200,72.275393
-483.772352,200,72.405618
-359.11607,200,72.532365
-365.964139,200,72.665143
-130.072471,200,72.801103
-254.925928,200,72.931628
-547.742505,200,74.427306
-574.595573,200,74.611112
-351.855386,200,74.773415
-491.852067,200,74.929778
-130.017724,200,75.112441
-364.131189,200,75.312897
-360.888154,200,75.454238
-482.477295,200,75.605883
-367.029215,200,75.778197
-124.666405,200,75.955311
-369.783628,200,77.568992
-357.493098,200,77.748181
-364.30317,200,77.898868
-246.002668,200,78.056111
-124.554787,200,78.203971
-125.850882,200,78.359689
-251.166736,200,78.513604
-353.186632,200,78.662923
-355.344818,200,78.80746
-452.676133,200,78.961878
-122.350471,200,80.423946
-239.360172,200,80.572068
-472.907532,200,80.717032
-1.269799,200,80.865888
-241.441596,200,81.018778
-127.609536,200,81.166415
-355.291084,200,81.309313
