#{"t_start": 1707252513.8928988, "env_id": "Pendulum-v1"}
r,l,t
-1690.670432,200,0.130873
-1553.491362,200,0.235188
-690.777315,200,0.340386
-1167.348762,200,0.452713
-864.518386,200,0.556433
-1004.276554,200,0.667015
-1730.294177,200,0.770227
-1817.311923,200,0.877079
-1047.241404,200,0.983784
-1007.967797,200,1.086636
-1721.367975,200,1.19343
-1818.808299,200,1.296669
-871.887007,200,1.403963
-1430.881533,200,1.50814
-1226.064029,200,1.615822
-1579.814539,200,1.719386
-1176.610548,200,1.824033
-1410.383843,200,1.931361
-1171.426403,200,2.035768
-1163.619006,200,2.139754
-921.221589,200,2.24721
-1622.847156,200,2.354576
-1364.612019,200,2.461854
-1177.022147,200,2.567457
-1372.539648,200,2.672095
-975.925754,200,2.780229
-1163.088164,200,2.889751
-861.540229,200,2.995112
-1363.972033,200,3.10495
-860.869526,200,3.210444
-1221.237458,200,3.319252
-1242.558151,200,3.431551
-960.686262,200,3.546213
-1181.427553,200,3.652328
-1365.763705,200,3.758629
-1590.898626,200,3.868015
-1062.197488,200,3.98025
-1671.333525,200,4.086617
-1146.459444,200,4.196807
-968.884946,200,4.312806
-1714.602022,200,4.424093
-1232.62409,200,4.532935
-1682.359069,200,4.643106
-1345.640383,200,4.749811
-969.686118,200,4.859793
-856.248988,200,4.967274
-876.595487,200,5.075523
-789.630406,200,5.185405
-1236.996729,200,5.29401
-879.793457,200,5.407355
-1067.245053,200,5.515807
-1129.351139,200,5.624796
-1309.027302,200,5.732835
-1522.196359,200,5.844464
-1172.126841,200,5.956772
-1271.621462,200,6.065915
-1070.109264,200,6.175819
-1399.436608,200,6.28498
-1760.433902,200,6.399284
-1583.584557,200,6.5082
-895.418906,200,6.618344
-1178.256799,200,6.72771
-862.22236,200,6.838443
-1201.360392,200,6.952464
-1556.6198,200,7.063143
-968.455472,200,7.177253
-881.02137,200,7.287816
-963.71789,200,7.401908
-866.853727,200,7.512493
-1071.947708,200,7.625666
-1590.87108,200,7.736264
-1667.372317,200,7.848074
-1621.941405,200,7.960302
-899.228287,200,8.071704
-1310.33177,200,8.185333
-1419.307629,200,8.29644
-1199.954964,200,8.411647
-1625.294792,200,8.523497
-1343.265075,200,8.636214
-1155.208022,200,8.748816
-1083.70435,200,8.866748
-897.191858,200,9.274862
-1650.774089,200,9.457391
-1170.621566,200,9.635099
-1287.443773,200,9.803933
-1410.955461,200,9.988593
-909.275879,200,10.180012
-1085.891586,200,10.361725
-1026.343247,200,10.540665
-1763.670926,200,10.714937
-917.152548,200,10.896127
-1694.717835,200,12.476793
-1088.61895,200,12.661216
-1130.702847,200,12.842821
-1173.968464,200,13.034925
-1270.149678,200,13.214561
-796.531325,200,13.394629
-968.40526,200,13.614764
-1472.593496,200,13.795709
-1790.726182,200,13.982439
-695.380045,200,14.168668
-1359.784782,200,15.74842
-1073.841536,200,15.938021
-1217.697476,200,16.126812
-1452.916771,200,16.311518
-627.518201,200,16.494763
-1474.163984,200,16.674546
-883.323464,200,16.861245
-1498.669139,200,17.047523
-1173.876207,200,17.249934
-1071.667357,200,17.4447
-1004.986044,200,19.01916
-1290.663525,200,19.208262
-952.213442,200,19.396995
-1523.022898,200,19.583165
-1310.486767,200,19.76578
-1505.367158,200,19.957743
-769.19364,200,20.157697
-1313.446396,200,20.398247
-754.089782,200,20.616566
-1597.794003,200,20.883366
-1743.250641,200,22.653798
-823.363889,200,22.900395
-1175.431311,200,23.112936
-1480.283608,200,23.352576
-1062.263459,200,23.597599
-1016.282231,200,23.831887
-806.055142,200,24.108592
-826.738502,200,24.367653
-1750.109008,200,24.627265
-960.378523,200,24.86902
-1106.288166,200,25.109018
-1188.391276,200,26.838557
-888.345451,200,27.05854
-1163.563221,200,27.278714
-1658.461266,200,27.50972
-1244.403457,200,27.802393
-1178.771504,200,28.085313
-1586.125361,200,28.306676
-1194.534985,200,28.565603
-1575.662132,200,28.81006
-1270.82771,200,29.036885
-1415.84033,200,30.766502
-1673.406617,200,30.964997
-898.464209,200,31.226377
-1699.286348,200,31.450706
-1651.934265,200,31.718099
-1431.227356,200,31.976387
-1421.992866,200,32.177505
-1098.239988,200,32.471405
-1129.164335,200,32.676948
-1301.963318,200,32.9638
-979.672036,200,34.594517
-1364.785016,200,34.816295
-1071.01223,200,35.053358
-1067.17213,200,35.274429
-1179.748836,200,35.474765
-1770.977155,200,35.66814
-1310.772093,200,35.875082
-1258.908119,200,36.078561
-1696.666205,200,36.287579
-1213.403707,200,36.510886
-1805.856813,200,38.488602
-1266.521629,200,38.708895
-1256.241257,200,38.937899
-826.396256,200,39.144702
-1032.715426,200,39.356854
-1566.577205,200,39.5619
-1027.11678,200,39.758959
-1675.009507,200,39.957109
-1001.661438,200,40.173484
-1741.318028,200,40.387444
-1395.489825,200,40.588424
-1023.514887,200,42.369506
-1244.18882,200,42.582332
-1644.506756,200,42.796375
-1471.691609,200,43.005096
-1659.338364,200,43.208547
-956.94996,200,43.413027
-1747.926341,200,43.625736
-1232.704349,200,43.833641
-1290.087988,200,44.036101
-880.607092,200,44.244208
-1506.754973,200,45.902614
-1319.854953,200,46.127288
-882.92424,200,46.359343
-1475.795115,200,46.634301
-1040.337619,200,46.87815
-1254.630458,200,47.12147
-994.841004,200,47.364324
-1056.90022,200,47.628346
-1371.843687,200,47.881801
-1022.266069,200,48.157365
-1147.635641,200,49.964967
-1056.254214,200,50.183204
-1578.589315,200,50.470356
-1618.781804,200,50.731222
-1676.931439,200,50.978066
-1165.561422,200,51.231098
-1033.318698,200,51.504803
-1212.857131,200,51.731068
-915.855716,200,51.947789
-1040.361169,200,52.168938
-893.69889,200,53.885909
-1304.878245,200,54.093366
-1134.088409,200,54.357495
-1630.592087,200,54.579062
-1028.843285,200,54.811817
-1643.782967,200,55.046221
-1165.822661,200,55.345195
-935.593554,200,55.60108
-1228.316587,200,55.908219
-1213.406159,200,56.204929
-962.256798,200,56.422495
-971.531834,200,58.265065
-1345.774599,200,58.497653
-1455.600501,200,58.720246
-975.607863,200,58.980366
-1315.748251,200,59.242602
-1633.53301,200,59.472287
-1001.646628,200,59.711627
-1728.820109,200,59.924756
-1449.583006,200,60.201179
-1164.146145,200,60.45341
-889.547245,200,62.204626
-870.264536,200,62.458908
-1171.468085,200,62.744854
-1197.648285,200,62.964829
-1506.708164,200,63.180967
-1344.628144,200,63.398523
-1694.120109,200,63.666866
-1481.729387,200,63.938193
-966.431534,200,64.176898
-1632.136317,200,64.41379
-1082.96285,200,66.034942
-1660.862042,200,66.251283
-1326.216411,200,66.466727
-980.257205,200,66.678356
-863.095834,200,66.896869
-1502.152056,200,67.109406
-1046.337696,200,67.321939
-1556.852032,200,67.543945
-967.676025,200,67.824661
-961.775839,200,68.132874
-1333.492068,200,70.325301
-1184.784238,200,70.584379
-1272.116499,200,70.852688
-1196.447313,200,71.114745
-971.821607,200,71.357162
-1407.214278,200,71.663972
-1446.526595,200,71.916881
-1040.325157,200,72.127943
-974.863478,200,72.400004
-963.971345,200,72.65392
-1305.287521,200,72.87716
-1549.164158,200,74.554197
-926.492788,200,74.771545
-1113.524301,200,74.994205
-1297.482979,200,75.228402
-988.497757,200,75.449832
-1071.680815,200,75.667681
-1286.637915,200,75.885309
-1027.153834,200,76.170494
-1021.116157,200,76.42735
-1051.004594,200,76.673411
-972.555091,200,78.584306
-1188.213825,200,78.825176
-968.07136,200,79.050133
-954.178052,200,79.276095
-1443.399192,200,79.492984
-1042.524692,200,79.71756
-873.576006,200,79.94697
-775.975878,200,80.182786
-1092.721641,200,80.432662
-909.141504,200,80.688496
-952.336417,200,82.569027
-1573.290314,200,82.78637
-1031.537436,200,83.006702
-988.857741,200,83.228241
-1583.577744,200,83.44829
-1022.250452,200,83.669309
-1489.928207,200,83.885971
-856.032938,200,84.10676
-887.958916,200,84.328258
-888.798568,200,84.546908
-1375.016454,200,86.263816
-1068.672042,200,86.488656
-872.355032,200,86.707558
-1539.146011,200,86.963203
-1076.692772,200,87.270574
-1112.246495,200,87.611803
-981.943006,200,87.846235
-940.667594,200,88.08355
-1535.416458,200,88.322107
-1007.746536,200,88.591009
-1205.247161,200,88.83956
-1070.432612,200,90.74408
-1476.577621,200,91.011206
-910.975108,200,91.280301
-989.917077,200,91.556469
-1621.204166,200,91.828337
-1169.410788,200,92.097368
-870.418081,200,92.372642
-1289.059503,200,92.637287
-1590.675456,200,92.898028
-1239.493994,200,93.167832
-1303.428294,200,94.844829
-1348.652474,200,95.123374
-1283.660184,200,95.401048
-1118.618957,200,95.668851
-1626.347503,200,95.9437
-1224.414704,200,96.215642
-1501.684591,200,96.489083
-1279.085144,200,96.785135
-1156.467104,200,97.052384
-1427.70118,200,97.316283
-1466.645734,200,98.999821
-1376.255367,200,99.263943
-882.315436,200,99.538934
-1392.6147,200,99.804865
-1104.017855,200,100.077766
-864.39889,200,100.349844
-967.882436,200,100.622311
-1037.931959,200,100.897248
-1064.367413,200,101.171971
-1678.100031,200,101.441561
-1053.459266,200,103.696608
-1414.873522,200,103.966953
-1503.675731,200,104.237316
-1614.106479,200,104.508372
-1200.301391,200,104.786757
-1267.218336,200,105.058895
-1168.080346,200,105.340962
-752.308309,200,105.617663
-1185.794884,200,105.890312
-1030.406379,200,106.186293
-829.614728,200,106.46646
-1318.403269,200,108.149324
-1165.965716,200,108.427577
-1467.103816,200,108.711782
-1073.899499,200,108.969405
-1069.148478,200,109.199522
-1657.648805,200,109.430464
-959.635907,200,109.658703
-1273.782047,200,109.896308
-1577.208042,200,110.143941
-980.441685,200,110.37453
-956.302984,200,112.109834
-961.441281,200,112.393141
-753.941843,200,112.701322
-1502.488638,200,113.016699
-914.495726,200,113.325202
-1063.925752,200,113.642192
-1425.869218,200,113.944084
-1288.671951,200,114.246489
-1183.957886,200,114.570011
-1182.040377,200,114.846081
-857.712751,200,116.860733
-1195.590289,200,117.157172
-908.143272,200,117.423862
-1499.77914,200,117.715952
-1345.061895,200,117.991775
-1476.712276,200,118.244136
-779.000176,200,118.550207
-1352.809293,200,118.840219
-1626.104226,200,119.128905
-989.439834,200,119.383346
-917.161835,200,121.070709
-1067.543642,200,121.321364
-861.733177,200,121.574886
-1477.496249,200,121.8212
-1338.341749,200,122.086268
-982.266605,200,122.337299
-1111.753631,200,122.591728
-933.404395,200,122.834392
-1086.423425,200,123.081027
-1118.523928,200,123.33341
-1497.420549,200,125.044179
-1165.660598,200,125.361024
-1038.647449,200,125.616194
-1222.644621,200,125.858925
-1582.913685,200,126.115978
-1077.769981,200,126.368413
-1090.604367,200,126.623216
-1138.782088,200,126.872027
-896.134145,200,127.229622
-1029.622245,200,127.578062
-1242.721372,200,127.87981
-1202.176044,200,129.639065
-997.889986,200,129.93837
-995.234004,200,130.278721
-1237.088111,200,130.620678
-1090.968086,200,130.975227
-1045.424845,200,131.294395
