#{"t_start": 1707324224.5486014, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.0,100,0.107555
0.0,100,0.200902
0.406,66,0.262197
0.766,26,0.285318
0.0,100,0.376324
0.523,53,0.422943
0.658,38,0.457231
0.0,100,0.547239
0.469,59,0.601146
0.0,100,0.693167
0.541,51,0.741452
0.0,100,0.833185
0.415,65,0.893004
0.0,100,0.9851
0.64,40,1.02067
0.0,100,1.11097
0.0,100,1.204075
0.586,46,1.246397
0.0,100,1.338637
0.0,100,1.429748
0.0,100,1.522555
0.0,100,1.614534
0.0,100,1.709694
0.0,100,1.804756
0.0,100,1.897249
0.622,42,1.93684
0.793,23,1.957823
0.0,100,2.050577
0.415,65,2.111951
0.235,85,2.193075
0.55,50,2.240432
0.235,85,2.318423
0.28,80,2.400369
0.217,87,2.49964
0.0,100,2.616212
0.0,100,2.741909
0.0,100,2.870135
0.163,93,2.99056
0.775,25,3.023675
0.541,51,3.091256
0.0,100,3.231063
0.0,100,3.36887
0.0,100,3.507857
0.0,100,3.648468
0.523,53,3.729317
0.739,29,3.774988
0.0,100,3.914946
0.712,32,3.960044
0.748,28,3.998843
0.0,100,4.139024
0.0,100,4.280985
0.0,100,4.422106
0.0,100,4.562552
0.0,100,4.700517
0.0,100,4.843324
0.55,50,4.914441
0.262,82,5.030952
0.0,100,5.174797
0.0,100,5.316379
0.631,41,5.373254
0.613,43,5.432441
0.181,91,5.563121
0.19,90,5.694235
0.0,100,5.84268
0.109,99,5.983102
0.0,100,6.122525
0.0,100,6.271557
0.0,100,6.42023
0.0,100,6.56706
0.226,86,6.690201
0.0,100,6.843706
0.0,100,6.994038
0.0,100,7.142627
0.289,79,7.259037
0.595,45,7.325435
0.0,100,7.474044
0.0,100,7.62407
0.487,57,7.708975
0.37,70,7.81612
0.19,90,7.950693
0.64,40,8.010862
0.0,100,8.161485
0.0,100,8.313576
0.1,100,8.459464
0.0,100,8.604448
0.748,28,8.646193
0.496,56,8.7287
0.0,100,8.879866
0.793,23,8.914284
0.0,100,9.063828
0.208,88,9.197953
0.0,100,9.348667
0.0,100,9.498183
0.406,66,9.597479
0.523,53,9.677968
0.0,100,9.83284
0.0,100,9.984015
0.0,100,10.130266
0.0,100,10.280832
0.145,95,10.427123
0.0,100,10.579771
0.0,100,10.734324
0.0,100,10.884272
0.352,72,10.99287
0.0,100,11.149044
0.739,29,11.193083
0.433,63,11.289829
0.388,68,11.394584
0.0,100,11.544384
0.0,100,11.699724
0.0,100,11.855238
0.532,52,11.93788
0.478,58,12.028095
0.0,100,12.182589
0.586,46,12.251041
0.0,100,12.405507
0.0,100,12.563973
0.0,100,12.720582
0.0,100,12.879294
0.0,100,13.037538
0.0,100,13.195715
0.0,100,13.354598
0.631,41,13.419881
0.595,45,13.491236
0.55,50,13.570458
0.712,32,13.622439
0.325,75,13.741933
0.0,100,13.900824
0.0,100,14.05261
0.0,100,14.207048
0.0,100,14.366643
0.0,100,14.527552
0.0,100,14.684974
0.0,100,14.844287
0.523,53,14.930664
0.0,100,15.090389
0.0,100,15.250426
0.1,100,15.404135
0.0,100,15.565632
0.0,100,15.730443
0.0,100,15.889851
0.604,44,15.95952
0.802,22,15.993517
0.406,66,16.099686
0.721,31,16.150853
0.217,87,16.296257
0.0,100,16.45907
0.0,100,16.615833
0.532,52,16.700331
0.0,100,16.870601
0.163,93,17.025917
0.415,65,17.132408
0.0,100,17.295962
0.208,88,17.437901
0.0,100,17.603751
0.487,57,17.699331
0.0,100,17.870278
0.586,46,17.945793
0.0,100,18.109363
0.388,68,18.2207
0.0,100,18.388543
0.0,100,18.558398
0.0,100,18.726395
0.0,100,18.890315
0.0,100,19.065073
0.676,36,19.125686
0.829,19,19.158162
0.0,100,19.327588
0.892,12,19.348456
0.649,39,19.414027
0.0,100,19.588449
0.0,100,19.757847
0.0,100,19.927757
0.0,100,20.107048
0.0,100,20.27313
0.838,18,20.307218
0.343,73,20.439577
0.0,100,20.61126
0.757,27,20.656273
0.0,100,20.826195
0.0,100,20.998898
0.478,58,21.104656
0.0,100,21.27951
0.0,100,21.45309
0.0,100,21.625459
0.0,100,21.803396
0.658,38,21.868701
0.883,13,21.892963
0.73,30,21.942126
0.0,100,22.108298
0.658,38,22.181908
0.424,64,22.290266
0.0,100,22.469846
0.0,100,22.648746
0.163,93,22.810198
0.37,70,22.92539
0.0,100,23.109492
0.0,100,23.303553
0.595,45,23.388235
0.0,100,23.566258
0.0,100,23.732023
0.847,17,23.760727
0.379,69,23.879331
0.46,60,23.983163
0.0,100,24.482496
0.406,66,24.596456
0.0,100,24.768632
0.0,100,24.939192
0.0,100,25.111358
0.676,36,25.170592
0.37,70,25.309891
0.0,100,25.478758
0.748,28,25.530278
0.829,19,25.56356
0.0,100,25.756653
0.0,100,25.930411
0.0,100,26.099138
0.496,56,26.19773
0.775,25,26.24332
0.46,60,26.345668
0.361,71,26.464816
0.0,100,26.633809
0.46,60,26.746675
0.0,100,26.921681
0.0,100,27.094794
0.442,62,27.201551
0.0,100,27.363889
0.64,40,27.428475
0.577,47,27.512134
0.649,39,27.581465
0.811,21,27.615449
0.0,100,27.789459
0.397,67,30.686969
0.505,55,30.788621
0.28,80,30.930859
0.0,100,31.110569
0.0,100,31.28368
0.226,86,31.440884
0.55,50,31.524349
0.307,77,31.655303
0.0,100,31.831148
0.424,64,31.941996
0.631,41,32.005288
0.478,58,32.101765
0.0,100,32.282163
0.766,26,32.330316
0.838,18,32.363585
0.0,100,32.585502
0.496,56,32.687206
0.0,100,32.870309
0.0,100,33.039246
0.271,81,33.191788
0.181,91,33.346159
0.307,77,33.483681
0.0,100,33.649338
0.739,29,33.701157
0.82,20,33.733325
0.0,100,33.904243
0.334,74,34.032035
0.0,100,34.212591
0.0,100,37.137586
0.424,64,37.251248
0.0,100,37.427803
0.0,100,37.600387
0.0,100,37.777355
0.0,100,37.955232
0.0,100,38.137532
0.0,100,38.307026
0.793,23,38.352441
0.0,100,38.515079
0.0,100,38.684074
0.307,77,38.810447
0.541,51,38.896616
0.0,100,39.063305
0.0,100,39.243296
0.0,100,39.41981
0.0,100,39.588155
0.0,100,39.759207
0.0,100,39.931551
0.0,100,40.101265
0.451,61,40.209186
0.0,100,40.395866
0.0,100,40.564587
0.0,100,43.747663
0.0,100,43.924521
0.0,100,44.09656
0.0,100,44.271561
0.0,100,44.466609
0.136,96,44.629557
0.0,100,44.797676
0.0,100,44.964863
0.0,100,45.128491
0.0,100,45.319535
0.478,58,45.419389
