#{"t_start": 1707321222.3920522, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.0,100,0.164313
0.0,100,0.26592
0.0,100,0.364305
0.316,76,0.442767
0.325,75,0.51425
0.0,100,0.61428
0.19,90,0.703728
0.0,100,0.805569
0.0,100,0.908772
0.0,100,1.009427
0.0,100,1.108382
0.0,100,1.22195
0.118,98,1.342581
0.514,54,1.421028
0.0,100,1.56971
0.0,100,1.720037
0.0,100,1.856905
0.0,100,2.00593
0.811,21,2.03425
0.0,100,2.185556
0.37,70,2.295534
0.0,100,2.444698
0.0,100,5.447215
0.0,100,5.610462
0.0,100,5.768235
0.235,85,5.897429
0.73,30,5.951416
0.0,100,6.095142
0.0,100,6.252226
0.802,22,6.287205
0.0,100,6.439431
0.568,48,6.507227
0.406,66,6.604747
0.748,28,6.650464
0.676,36,6.699682
0.0,100,6.854512
0.0,100,7.003179
0.0,100,7.156682
0.0,100,7.306489
0.0,100,7.456027
0.0,100,7.606278
0.631,41,7.669576
0.0,100,7.817296
0.0,100,7.966033
0.496,56,8.053662
0.0,100,8.205317
0.325,75,8.316825
0.0,100,8.460886
0.0,100,11.384732
0.0,100,11.540384
0.0,100,11.691137
0.676,36,11.747241
0.694,34,11.798722
0.586,46,11.864545
0.154,94,12.008949
0.865,15,12.035983
0.0,100,12.186408
0.838,18,12.219286
0.451,61,12.319328
0.667,37,12.372707
0.0,100,12.524546
0.757,27,12.562765
0.406,66,12.657136
0.0,100,12.802818
0.172,92,12.948056
0.784,24,13.00333
0.0,100,13.18487
0.0,100,13.341852
0.379,69,13.446385
0.541,51,13.519778
0.622,42,13.590089
0.568,48,13.66173
0.0,100,13.810856
0.766,26,13.84657
0.0,100,14.002433
0.541,51,14.086479
0.0,100,14.235651
0.0,100,14.3912
0.0,100,17.473722
0.0,100,17.635544
0.0,100,17.787143
0.217,87,17.919358
0.0,100,18.066291
0.199,89,18.214266
0.0,100,18.358064
0.757,27,18.396276
0.0,100,18.551916
0.82,20,18.583673
0.901,11,18.600642
0.0,100,18.758443
0.784,24,18.795267
0.559,49,18.877165
0.0,100,19.026691
0.694,34,19.078077
0.793,23,19.119831
0.1,100,19.269535
0.514,54,19.349821
0.685,35,19.401534
0.298,78,19.518958
0.0,100,19.673973
0.568,48,19.74519
0.0,100,19.894353
0.748,28,19.934188
0.541,51,20.009856
0.361,71,20.113732
0.163,93,20.255367
0.0,100,20.411093
0.0,100,23.497179
0.793,23,23.530576
0.505,55,23.624309
0.649,39,23.684294
0.523,53,23.763444
0.217,87,23.895578
0.307,77,24.012121
0.748,28,24.051687
0.0,100,24.209863
0.883,13,24.228927
0.289,79,24.342694
0.37,70,24.44721
0.496,56,24.533239
0.775,25,24.568224
0.811,21,24.597278
0.829,19,24.634109
0.0,100,24.78136
0.739,29,24.827766
0.0,100,24.968863
0.811,21,24.99685
0.397,67,25.097363
