#{"t_start": 1707321683.4307992, "env_id": "MountainCarContinuous-v0"}
r,l,t
-52.068417,999,0.46136
-50.530644,999,0.928926
-52.628919,999,1.758176
67.15709,671,2.291855
66.394305,669,4.144447
-50.167282,999,5.01551
-51.122712,999,7.028908
67.81748,660,7.612659
82.482938,353,7.907426
74.613308,509,8.32429
66.6826,681,10.176258
79.492607,416,10.547984
79.148663,395,10.8765
83.492156,340,11.159232
66.87266,663,12.863868
60.702883,822,13.604287
79.92433,422,13.968145
79.449862,426,14.325388
79.170013,412,15.934436
86.44416,284,16.201991
74.122399,534,16.658586
87.746202,248,16.867565
86.141508,276,17.092708
82.840316,350,17.380775
78.591953,442,18.985207
84.704728,328,19.292415
85.680116,282,19.542356
83.28282,328,19.829548
85.899513,282,20.069234
82.239302,334,20.355673
86.646394,275,21.78545
74.455835,526,22.287292
82.745428,322,22.618109
87.74217,249,22.841572
88.163017,232,23.043962
77.246743,478,23.45243
75.777888,491,25.133255
86.083656,289,25.402891
85.948947,277,25.651465
86.957502,238,25.859787
84.745063,317,26.125096
90.486024,202,26.297832
87.389573,256,26.513067
85.657244,271,27.995093
89.870595,187,28.18787
77.512847,464,28.63058
88.716975,223,28.838208
87.79258,240,29.052465
85.516464,264,29.285721
91.863518,153,29.41761
87.332193,262,29.64962
87.431019,243,31.16762
89.14995,211,31.387291
88.91996,209,31.582429
85.407603,297,31.85996
80.64741,398,32.2579
87.09104,254,32.53305
88.460733,205,32.745353
91.223823,170,32.903937
89.325917,220,34.402297
89.446131,193,34.609919
87.425874,248,34.852194
87.389853,224,35.079722
88.807144,219,35.313093
88.634675,230,35.61088
91.623273,161,35.775267
86.144739,262,36.035246
90.097254,201,36.225962
89.978887,203,36.420249
88.840635,229,38.011803
86.601564,265,38.338366
91.131838,148,38.504016
88.999884,213,38.745298
91.717898,152,38.90538
89.857802,197,39.093279
87.397969,236,39.328673
89.799553,168,39.492446
91.390503,160,39.668256
92.28001,156,39.842331
90.572923,163,40.004553
86.184505,263,41.628396
84.54975,291,42.01014
84.940101,291,42.363655
87.299731,232,42.649183
91.71142,172,42.834967
88.743325,193,43.026601
87.443878,216,43.234105
88.222352,219,43.443449
87.279748,244,45.179445
90.106134,178,45.437851
89.418618,212,45.700705
87.697032,237,45.943499
88.389389,223,46.157311
88.153854,229,46.370593
91.091648,151,46.510571
90.723569,154,46.650349
83.744873,309,46.926783
88.897625,223,47.121635
87.442983,221,48.56141
93.663516,127,48.698388
89.722253,164,48.871009
90.944804,185,49.050445
89.771351,176,49.217347
85.974615,262,49.463553
92.189403,159,49.611826
92.81484,126,49.724259
91.185603,163,49.878946
90.509365,189,50.072529
90.81373,159,50.234157
87.593282,239,51.901505
90.2172,158,52.096519
91.261283,148,52.30725
90.898072,181,52.521941
88.381435,213,52.788519
91.619675,139,52.953609
90.687855,148,53.124464
88.82069,211,53.344456
88.685053,192,53.536101
84.670646,283,53.81638
89.963013,190,54.010916
91.716634,155,54.175491
87.691275,209,55.735537
89.468262,186,55.932167
88.989179,198,56.128219
90.054257,189,56.300335
90.053844,183,56.460713
89.597911,183,56.640526
88.279321,194,56.813807
92.096457,148,56.939947
92.98924,110,57.036889
89.371782,220,57.228474
91.784106,156,57.360264
89.626865,184,58.749706
91.90408,149,58.909341
87.96663,239,59.141251
92.827662,125,59.258634
91.16415,141,59.386508
90.265773,202,59.567222
88.506346,200,59.740417
91.490717,154,59.873318
91.984314,157,60.004994
89.942286,169,60.147951
87.311476,235,60.393303
90.139335,190,62.009055
89.079455,183,62.206892
91.170324,144,62.352619
90.883185,153,62.494682
90.70146,160,62.642957
93.168534,117,62.747586
89.118733,199,62.920362
90.548192,192,63.085546
89.513322,199,63.254853
89.329283,185,63.410346
90.835054,152,63.538198
92.234359,152,63.67388
90.096052,159,63.816276
91.369764,173,65.229284
89.020409,190,65.424911
91.377344,156,65.576164
90.746563,154,65.716504
91.410503,143,65.848783
90.997958,141,65.970805
93.355497,128,66.082598
90.80071,145,66.206483
91.073897,148,66.336536
93.27154,118,66.436455
91.662575,156,66.569943
93.067631,126,66.67623
89.786058,170,66.83559
92.037708,143,66.973107
88.804509,183,68.550645
90.35884,146,68.791888
92.739356,143,68.973365
91.637374,144,69.133045
90.604315,157,69.315289
91.142466,152,69.46898
85.050238,267,69.72269
92.79324,142,69.855967
89.790848,158,69.997109
92.769495,128,70.108376
91.065417,149,70.238332
89.874144,155,70.376896
93.759717,113,70.48025
89.327392,165,71.906909
91.297803,146,72.053548
90.237619,146,72.197129
92.774746,111,72.300884
89.623056,158,72.445721
91.461504,143,72.574402
90.116559,135,72.691261
94.924994,86,72.770257
90.922553,144,72.895945
87.241744,222,73.091832
90.527359,142,73.227976
91.631856,145,73.364053
91.091048,150,73.497205
92.458698,134,73.621179
92.735718,127,75.113568
94.653739,86,75.213764
90.45682,145,75.384829
90.34932,149,75.540177
93.172564,108,75.654155
91.831832,143,75.801719
90.133874,159,75.964987
90.578067,147,76.115444
93.244012,123,76.245617
90.780147,140,76.409352
93.371875,119,76.541595
95.071841,78,76.628769
92.256709,145,76.780605
91.065118,140,76.93718
94.718824,83,77.025085
93.341704,113,77.161175
90.447556,141,78.79648
92.264472,137,78.951162
90.861999,146,79.123114
92.674068,153,79.298824
94.696079,79,79.394225
92.370024,128,79.535623
91.573459,139,79.677393
90.06732,145,79.827955
94.650785,86,79.91204
90.601892,137,80.042861
89.853573,168,80.199153
92.653807,107,80.300599
92.063572,125,80.41638
90.186572,152,80.559591
89.615537,152,80.736763
91.779661,145,82.52191
90.572273,146,82.719168
94.630044,82,82.813654
89.529654,154,83.031448
95.057042,82,83.134098
91.301974,134,83.284145
92.683403,116,83.427713
92.7022,107,83.542915
92.197024,128,83.679888
91.074245,141,83.837877
92.350419,107,83.951341
94.737832,82,84.036557
93.98868,110,84.155838
94.55857,91,84.251034
90.149292,154,84.405402
94.504198,111,84.519169
89.974946,145,84.70662
89.071595,158,86.346688
94.93463,83,86.448155
89.181059,166,86.640988
92.359739,117,86.766214
92.726515,104,86.87528
91.877577,120,86.998065
