#{"t_start": 1707315481.1563504, "env_id": "MountainCarContinuous-v0"}
r,l,t
-52.504398,999,0.580098
-50.220994,999,1.096001
-52.308468,999,1.579254
-50.718904,999,2.054706
-51.209774,999,2.523404
-51.610346,999,2.999994
-52.652553,999,3.471454
-52.345401,999,3.965257
-51.985448,999,4.454378
-51.612967,999,4.943943
-52.678227,999,5.430577
-53.421448,999,5.918591
-52.678353,999,6.413136
-53.662793,999,6.902564
-52.300137,999,7.393599
-51.233407,999,7.887826
-53.19269,999,10.606982
-50.553415,999,11.52327
-52.077589,999,14.01688
-50.884432,999,15.022496
-49.530035,999,17.456768
-51.801894,999,18.437154
-49.404581,999,20.705268
-49.248606,999,21.707769
-49.058653,999,24.065585
53.440522,973,24.997281
-45.912795,999,27.402695
-50.757018,999,28.481792
-47.566537,999,30.8129
-51.55104,999,31.875429
-48.88698,999,34.155338
-48.401663,999,35.528726
-47.479159,999,38.698966
-45.678604,999,39.956649
66.751242,675,42.184371
-44.728885,999,43.255433
-45.794692,999,45.359175
59.385617,876,46.219504
66.963983,697,46.851044
80.695008,421,48.378518
80.12667,434,48.827744
74.219799,510,49.31478
78.9739,432,49.731041
82.766662,386,50.095456
86.050144,273,51.475396
83.813902,348,51.84426
82.462013,335,52.170099
88.511599,245,52.399246
85.300232,305,52.683859
77.638871,496,53.130169
88.761257,232,53.342642
81.7138,361,54.870223
86.29068,279,55.162821
81.738833,379,55.53512
84.316341,296,55.820116
85.287927,307,56.114877
89.575756,236,56.331449
84.714875,313,57.773917
87.868249,268,58.063577
83.488207,319,58.381696
86.88199,267,58.643517
86.791976,278,58.909698
88.613605,235,59.133863
86.573464,293,59.403795
81.387666,389,61.136529
82.119205,377,61.545231
88.502468,248,61.793746
88.354579,216,62.004755
91.991,147,62.22949
89.082488,204,62.538903
86.492934,278,62.997611
84.013217,332,63.539666
90.068317,192,66.377442
86.671276,272,66.700111
84.939234,311,67.055574
86.873413,272,67.34885
86.589823,295,67.656704
90.408051,190,67.903366
88.551668,225,68.142262
86.152665,261,68.42295
93.362927,128,68.554918
89.06671,239,70.069512
85.962525,273,70.449668
86.452402,242,70.810738
89.645846,233,71.185306
89.456821,203,71.451138
90.284798,192,71.676603
89.489452,217,71.931064
85.799145,303,72.34369
89.305524,219,74.641666
87.718793,270,75.08933
87.688445,211,75.45748
91.870016,158,75.723413
92.163625,144,75.942712
90.266029,195,76.262043
91.772936,152,76.505147
90.02138,200,76.791471
91.155528,177,76.995458
88.961931,221,77.234944
87.278729,250,77.488432
89.300412,200,78.827564
91.206412,162,79.00586
92.332526,143,79.153607
91.406871,163,79.321609
90.865731,193,79.513767
89.489954,192,79.702587
87.825291,236,79.943
90.693938,176,80.121662
88.15791,215,80.333701
89.118259,204,80.534
87.93714,222,81.875023
89.403489,221,82.149863
92.001738,146,82.305537
93.037167,118,82.42522
87.636925,214,82.640269
92.51078,151,82.791489
89.046066,213,83.0032
90.365378,176,83.176042
89.504194,195,83.360044
90.498312,185,83.548698
85.358968,279,83.860576
90.760589,168,85.619512
90.891341,184,85.864773
90.239596,183,86.082442
91.3253,155,86.261679
90.12915,185,86.482479
91.939386,163,86.654018
91.828223,173,86.83513
92.756112,119,86.961641
91.80251,149,87.120247
92.451765,123,87.244201
91.577855,147,87.393207
92.58885,134,87.53061
88.393313,211,87.759948
89.160069,221,89.289384
88.236007,233,89.546969
89.766621,187,89.740572
90.497434,167,89.917491
90.919534,178,90.105601
91.556762,159,90.281504
86.111989,259,90.559171
88.593384,231,90.859817
90.936551,188,91.120867
91.762997,145,91.324282
90.048108,189,93.233354
92.57937,154,93.41815
89.103684,207,93.645225
93.607713,115,93.767301
92.78336,128,93.906356
88.327562,223,94.145044
93.437048,123,94.268255
88.183473,222,94.493536
92.272024,142,94.637984
93.397741,117,94.755659
90.523049,164,94.930688
90.390289,182,95.165298
84.178979,315,98.66466
88.935711,198,98.919473
87.666373,262,99.221467
88.749437,226,99.471847
89.657389,202,99.715199
88.589985,204,99.989139
87.41091,230,100.278997
88.267495,193,100.502139
88.047772,245,100.791653
90.350258,187,100.998786
89.735991,183,102.40986
93.493225,111,102.538898
91.623573,155,102.723412
88.621374,227,102.985806
91.98805,145,103.168626
93.359374,123,103.32006
89.711123,215,103.546489
91.21174,194,103.753041
90.100845,198,103.964602
92.471368,144,104.123777
92.230703,152,104.279179
87.060977,250,105.892638
90.253146,173,106.201694
90.858871,179,106.444014
91.391769,146,106.655935
91.189101,144,106.883624
89.664734,196,107.122981
90.10443,179,107.322774
92.16644,163,107.547373
91.24227,183,107.762737
89.713576,189,107.970811
89.968909,181,108.166093
93.181641,117,108.288389
88.861471,204,109.621657
