#{"t_start": 1707315924.209208, "env_id": "MountainCarContinuous-v0"}
r,l,t
-54.088488,999,0.573922
-50.663125,999,1.074665
-49.856656,999,1.55621
-52.526329,999,2.02777
-51.484619,999,2.504536
-51.642004,999,2.98003
-52.294289,999,3.462793
-50.940105,999,3.942184
-51.685805,999,4.42771
-52.727073,999,4.91025
-51.360049,999,5.395862
-51.496551,999,5.87495
-50.871944,999,6.366301
-49.503132,999,6.851088
-53.804318,999,7.341156
-51.303212,999,7.835751
-52.227231,999,10.426708
-52.992627,999,11.255141
60.56273,792,13.05333
-51.603003,999,13.821092
63.987905,700,15.521478
-50.592334,999,16.312072
52.475497,962,18.20569
64.741382,709,18.785798
70.053198,586,19.239307
66.428284,623,20.879547
66.460698,652,21.428572
66.31306,677,21.954375
92.271198,156,22.077194
74.323801,541,23.641965
84.814605,306,23.912415
84.830873,304,24.166408
77.861076,424,24.54677
87.359586,263,24.784079
84.965736,287,25.028847
80.737117,377,26.506852
88.047737,224,26.71478
88.861768,231,26.916223
85.582881,279,27.143177
87.790769,238,27.329966
85.021644,301,27.56474
76.58746,442,27.902178
76.460221,430,29.375895
86.603824,253,29.611757
85.596585,279,29.851108
86.517651,260,30.08139
89.463676,206,30.268601
85.867995,274,30.503758
87.293401,247,30.714346
84.308214,313,31.006679
83.646781,314,32.643604
87.549656,235,32.856699
85.234426,270,33.084216
85.640848,273,33.30519
83.15518,307,33.544838
85.456444,258,33.743635
88.724156,228,33.920381
88.953553,231,35.475223
85.241973,274,35.838188
78.827353,403,36.333332
87.867829,238,36.557439
87.680437,225,36.752475
88.73784,262,36.968236
89.613021,195,37.124956
88.709721,216,37.292662
86.385968,273,38.649282
90.786193,164,38.804424
85.381027,267,39.035141
91.107241,163,39.175654
87.15988,226,39.358486
87.812207,232,39.542458
89.648883,194,39.703846
91.90834,151,39.822711
84.571221,288,40.05103
88.790701,221,40.224443
90.287465,174,41.565251
89.597166,191,41.747695
91.613469,147,41.877379
86.909754,245,42.08756
89.807355,198,42.251999
87.12696,258,42.458874
87.438199,257,42.658214
82.132497,351,42.930249
82.474709,329,44.298653
87.317292,258,44.545595
86.899745,231,44.752776
89.22477,200,44.921766
89.087836,195,45.083704
84.568913,328,45.344393
90.425304,189,45.488787
86.668383,265,45.704372
89.01841,221,45.890044
87.133419,244,47.314248
83.723714,298,47.62817
91.277061,162,47.787029
85.794121,271,48.026024
86.236631,267,48.251341
86.770342,278,48.472265
83.027557,317,48.72014
87.322261,242,48.902565
83.326818,302,50.475609
91.57852,153,50.618152
89.127075,199,50.792824
82.019815,349,51.075892
88.441473,223,51.261147
86.941507,241,51.486955
91.296199,160,51.623588
88.498927,237,51.813417
88.75372,197,51.966172
86.015259,247,53.306202
91.303305,157,53.449307
90.328294,176,53.60154
90.959641,143,53.726365
91.723733,148,53.865244
91.436526,160,54.041597
91.194141,157,54.231512
87.617294,229,54.524141
88.091301,204,54.794163
92.054608,154,55.016586
92.09799,147,55.18187
92.53864,162,55.352581
91.040554,172,56.703589
90.087428,204,56.89308
90.485557,153,57.024598
93.166562,123,57.130129
90.200275,173,57.275312
89.245186,190,57.449736
91.679996,149,57.604233
93.470904,121,57.726502
89.156566,192,57.932081
90.960851,149,58.10373
92.056119,140,58.285001
89.185642,180,58.467693
91.579407,144,58.603458
93.459047,113,59.897535
89.056641,224,60.111172
90.400006,155,60.246121
90.795673,147,60.376849
89.061495,183,60.525342
92.813761,125,60.628852
93.371449,125,60.757843
90.010189,173,60.910834
92.405069,135,61.024645
94.904834,90,61.100317
93.039627,120,61.197734
91.067202,182,61.341138
90.268073,169,61.473937
91.589336,149,62.713959
94.470299,97,62.808871
91.330725,138,62.939763
92.122207,143,63.061244
92.903251,118,63.159582
92.731046,117,63.257606
90.664903,147,63.375801
88.488256,178,63.514097
90.026262,155,63.633729
93.019528,116,63.725638
92.752893,134,63.830222
93.474927,118,63.922713
92.625509,124,64.017794
92.340085,124,64.114848
93.546286,115,64.204385
92.829557,115,64.294136
91.80598,126,65.532973
89.494324,162,65.686998
92.828922,113,65.789356
92.525729,117,65.890704
91.482822,140,66.009987
87.8572,196,66.17285
90.887789,153,66.29629
90.335924,146,66.410576
88.116286,195,66.568872
90.107245,147,66.686145
92.300669,116,66.776425
92.058774,118,66.868201
90.034468,152,66.984213
90.538772,145,67.096197
95.069083,84,67.179487
91.008955,133,68.466482
92.154452,117,68.578104
89.732929,165,68.726442
89.124399,157,68.858676
90.379863,144,68.976876
92.418342,107,69.065466
94.335904,93,69.141609
93.291606,120,69.238533
93.00884,108,69.325938
90.429894,138,69.435004
90.687169,141,69.54391
94.340847,82,69.60718
91.875171,105,69.686398
94.604671,75,69.74607
91.993497,115,69.837225
93.957361,88,69.909444
90.630736,143,70.025863
94.134757,80,71.240259
94.064608,99,71.337965
91.766478,120,71.455469
91.891701,122,71.563285
91.654345,113,71.660926
88.74283,158,71.794862
89.206161,164,71.926266
94.594707,84,71.994384
92.032384,104,72.07633
89.195047,146,72.196341
89.277096,151,72.314949
93.937567,94,72.386909
92.33345,109,72.469178
94.506508,78,72.531899
91.996906,109,72.616852
92.696805,113,72.705252
93.947945,94,72.77763
94.313717,81,72.842797
87.710318,169,74.134437
94.257877,83,74.209659
94.026665,81,74.284856
94.368136,77,74.353741
94.352665,83,74.42225
89.621829,143,74.543874
88.730843,161,74.676959
89.39425,143,74.792078
91.755437,110,74.881437
91.754178,126,74.982778
94.245066,82,75.046328
92.550509,111,75.135352
90.273168,150,75.258349
92.416949,107,75.341595
92.209944,114,75.43205
94.360935,79,75.49707
93.803404,79,75.557678
89.912636,154,75.685983
94.044789,82,76.969549
91.574233,109,77.075693
91.616234,110,77.17906
91.416093,106,77.274715
93.819902,86,77.352604
93.911179,83,77.422857
92.645814,102,77.506827
90.062418,138,77.622236
91.819345,114,77.713969
93.792748,84,77.785359
93.834763,83,77.853341
94.047026,75,77.910539
94.010663,91,77.984175
91.326771,110,78.070829
92.22646,104,78.152503
93.976082,86,78.216483
94.23032,78,78.278615
94.136678,77,78.335198
93.796153,87,78.403028
88.958044,149,78.516825
91.528836,109,78.601491
93.981522,78,79.785628
94.193839,79,79.862335
94.082,75,79.939355
94.269981,72,80.008584
90.135979,130,80.125739
91.792746,121,80.231274
91.081938,109,80.324263
94.424382,77,80.38608
91.997729,115,80.480685
93.406362,94,80.562433
93.916456,79,80.630341
94.056287,75,80.690428
93.905055,75,80.756011
93.999796,77,80.819823
90.063606,132,80.92506
