#{"t_start": 1707315799.0614781, "env_id": "MountainCarContinuous-v0"}
r,l,t
-51.90873,999,0.558402
-53.060254,999,1.05898
-52.053419,999,1.568852
-51.538238,999,2.095104
-51.917353,999,2.758267
54.30072,903,3.287647
-50.097197,999,3.822171
-50.621455,999,4.377975
-49.668211,999,5.114234
-51.995333,999,5.893068
-53.73113,999,6.462986
-52.04848,999,6.965784
-49.979792,999,7.457392
-50.049043,999,7.939107
-53.343399,999,8.420722
-52.756686,999,8.897036
-50.924385,999,9.956033
-49.902924,999,10.739446
68.091649,645,12.45889
52.269123,917,13.187777
78.246305,410,13.50547
71.937006,557,15.11292
71.905202,558,15.590118
72.962167,515,16.001147
70.24919,546,17.562248
80.939816,352,17.883069
76.629478,444,18.251285
79.636193,401,18.566482
69.41418,587,19.01392
81.096748,364,20.511191
74.125054,473,20.92853
86.439727,244,21.12516
79.804489,399,21.441262
70.226409,606,21.901949
77.906721,426,23.389629
82.011188,353,23.692528
63.64164,719,24.261199
76.448905,472,24.621782
87.556106,242,24.802176
80.211791,394,26.331192
86.705235,249,26.544901
88.87511,222,26.726257
90.752561,177,26.863637
87.080731,250,27.057789
84.744253,269,27.263829
82.400023,322,27.511883
84.370717,321,28.898247
87.731384,223,29.135277
85.901784,262,29.38253
91.208301,169,29.530287
90.319358,180,29.684021
88.225125,233,29.872375
87.625727,225,30.044961
78.716392,379,30.34865
85.137771,271,30.569583
91.732453,155,31.904675
82.500175,321,32.201676
85.997841,271,32.436647
78.437899,439,32.803863
82.802948,339,33.110864
87.586362,225,33.342402
87.873507,234,33.58545
88.061932,221,35.014604
85.820841,253,35.238987
90.59432,183,35.390128
86.573208,247,35.590839
84.944887,272,35.808675
81.883994,340,36.070047
76.250293,442,36.407181
87.888558,215,37.679502
88.840904,218,37.882448
91.572393,152,38.016378
82.457599,353,38.305524
84.380702,297,38.538422
87.072833,233,38.717109
90.499057,161,38.838427
84.16113,299,39.064595
91.562206,151,39.178456
86.265163,252,40.496186
89.009998,187,40.66908
86.972204,239,40.872679
88.397143,221,41.054513
92.003391,145,41.169834
88.581782,204,41.326177
90.590487,166,41.452643
90.924021,194,41.598914
89.081593,210,41.75855
92.215108,151,41.874856
88.03947,210,42.030379
90.106569,174,43.296152
87.548591,215,43.487285
90.603,177,43.638189
90.973532,154,43.762833
92.010937,148,43.879725
91.683853,148,43.996353
91.433613,154,44.113333
91.777092,145,44.226557
90.608971,180,44.365333
91.624598,145,44.475117
85.974708,254,44.665534
90.426971,147,44.774784
89.282385,184,46.048148
91.905333,146,46.180215
86.74333,230,46.371469
86.809608,223,46.552119
90.669434,177,46.691643
87.113711,234,46.871313
87.840796,215,47.038086
89.365977,219,47.205052
88.797158,206,47.362022
85.606309,257,48.663066
91.448828,147,48.81164
89.577096,182,49.01731
88.733773,186,49.189978
91.212761,146,49.314966
91.475781,152,49.440112
88.29447,215,49.616005
91.756314,152,49.736354
91.645842,147,49.850983
91.761339,138,49.95837
91.565127,145,50.069736
88.065851,223,50.245587
88.324886,238,51.547304
91.510775,160,51.698233
90.54376,168,51.844264
87.992859,199,52.007148
92.31746,141,52.119903
91.929822,144,52.232777
90.513635,175,52.37342
91.424731,147,52.485756
87.441535,219,52.656148
92.054857,139,52.761221
91.379697,151,52.877481
86.809039,217,53.035277
92.144958,136,54.244231
89.653545,152,54.387848
91.417366,148,54.522148
90.775013,166,54.662263
91.489813,151,54.785754
91.198041,138,54.897669
92.106288,143,55.009714
91.071634,144,55.12506
87.798468,200,55.281954
90.327738,172,55.413248
90.689858,156,55.533835
85.674224,254,55.726105
89.054262,182,55.866761
91.170874,154,57.108668
88.883475,212,57.301982
92.997645,128,57.422878
87.272631,224,57.635098
92.027529,139,57.754359
87.502623,210,57.929331
90.533185,141,58.041788
91.1651,144,58.15579
90.980468,133,58.257945
87.542138,243,58.445498
89.26295,154,58.561481
91.185961,137,58.663289
90.104973,170,59.917613
90.523813,133,60.033857
90.099346,162,60.176175
90.797946,132,60.288896
91.518341,147,60.407377
89.322817,156,60.52965
90.707538,138,60.637477
90.373162,144,60.751969
90.038081,141,60.859654
92.037457,134,60.962144
90.355928,146,61.07215
90.692341,136,61.17391
92.210084,140,61.277818
91.225851,141,61.381705
88.192545,167,62.611542
87.329009,203,62.808611
91.143081,144,62.933777
89.570187,147,63.05848
93.243332,126,63.161499
94.813779,81,63.223095
90.343558,140,63.335906
90.642457,144,63.449233
91.678057,135,63.554786
89.328721,152,63.669909
90.80422,140,63.78196
89.324672,172,63.912712
91.001989,142,64.017922
89.437219,165,64.140595
91.741097,135,65.431069
89.26586,149,65.569613
94.479329,74,65.636933
90.83621,138,65.757232
86.491798,208,65.935517
91.365193,136,66.044008
94.645571,77,66.10192
91.42009,136,66.208875
90.129829,150,66.326929
90.17314,148,66.440158
89.660406,151,66.554421
90.687203,157,66.672212
91.626174,126,66.768777
94.787108,78,66.832951
89.697959,145,66.944644
90.212493,139,68.149613
91.452374,138,68.285638
90.433784,132,68.403632
88.356973,156,68.535844
94.307686,75,68.60005
90.751704,135,68.70948
90.024843,141,68.821658
87.66591,159,68.951811
94.175347,76,69.022321
94.820623,74,69.08851
90.356269,151,69.215383
89.918504,140,69.327321
94.979231,77,69.385568
89.095773,159,69.516497
94.379548,77,69.577906
90.715371,130,69.687003
89.897992,129,69.798538
90.584392,138,71.144706
94.816138,76,71.215792
92.196888,129,71.334277
90.323267,170,71.484492
89.782004,153,71.608881
89.212279,137,71.720042
93.974769,82,71.786232
94.775647,73,71.840974
94.641312,75,71.908452
94.593808,73,71.972095
89.862435,135,72.084355
94.346559,80,72.144863
89.818339,141,72.258835
90.238044,137,72.369781
94.228639,76,72.432649
93.400364,111,72.523153
93.884736,104,72.606268
88.756278,157,72.728345
90.011842,143,74.047896
87.866984,154,74.193627
94.14845,76,74.264615
94.03584,78,74.33216
89.375619,142,74.456172
94.611548,86,74.524589
90.426656,139,74.64012
94.478365,77,74.700531
87.981922,160,74.827114
89.185504,147,74.939854
94.861763,77,75.001877
91.643179,125,75.098221
94.710811,77,75.158154
89.588611,139,75.270208
94.288488,75,75.345807
86.835909,192,75.5136
94.530648,76,75.580267
90.294384,135,75.693716
94.376785,75,76.933752
94.306732,85,77.020026
92.533166,99,77.113374
94.45214,74,77.180378
93.923611,72,77.246068
93.863494,76,77.311976
93.978835,78,77.377872
89.810247,159,77.520372
90.155117,135,77.644403
94.864453,77,77.709435
91.636551,139,77.829373
94.283631,78,77.89365
94.853423,85,77.964655
94.03298,77,78.023977
94.719883,74,78.08495
93.93425,75,78.145789
94.622756,75,78.203767
94.254044,74,78.265203
94.676655,76,78.322269
94.436697,78,78.387316
87.710545,156,78.519805
94.396034,75,78.582412
88.371756,152,79.918325
94.297976,74,79.988077
94.378174,75,80.057223
94.328336,79,80.129708
93.754727,75,80.195126
93.97171,80,80.279421
94.187059,81,80.359156
93.846701,98,80.444891
94.225041,75,80.510135
90.547619,132,80.621077
88.820486,151,80.742694
90.490887,136,80.85107
88.633874,144,80.963357
94.176136,82,81.03036
94.356381,76,81.087199
94.151032,71,81.143071
88.879875,136,81.245797
89.592648,131,81.344595
94.049808,72,81.396988
94.287047,80,81.459362
89.102718,143,82.690209
93.950951,74,82.76318
88.14523,147,82.902375
94.388822,76,82.970297
94.464808,72,83.032038
94.363222,76,83.098936
94.0683,79,83.162224
94.256338,73,83.22576
93.938861,77,83.289843
89.549302,142,83.402798
88.491666,146,83.516944
91.220767,136,83.622854
89.76335,136,83.727176
94.298302,70,83.777804
93.956001,83,83.843039
94.19407,76,83.902969
89.195215,135,84.005482
88.460057,140,84.120164
94.110332,75,84.19435
93.49366,74,84.257146
94.014771,76,84.322724
93.525229,77,84.384458
94.401324,76,85.596802
89.106985,150,85.737279
94.007964,74,85.802513
93.916408,73,85.868613
93.767991,73,85.933008
94.53433,77,86.004903
93.785155,75,86.070805
89.313772,140,86.189322
93.852594,74,86.253148
94.510265,77,86.320584
94.231781,75,86.386501
94.073489,73,86.447754
93.953482,73,86.512212
88.051448,149,86.635119
94.151376,73,86.695325
93.77949,74,86.754609
94.049999,74,86.818765
94.065683,75,86.882743
94.591799,82,86.948973
94.024398,74,87.009617
88.871281,143,87.124113
94.023291,75,87.184841
94.197824,76,87.243636
93.816098,76,88.546059
93.640908,73,88.619411
94.284937,75,88.690382
