#{"t_start": 1707315018.6701698, "env_id": "MountainCarContinuous-v0"}
r,l,t
-52.009285,999,0.481848
-52.124914,999,0.945633
-50.514117,999,2.46859
-49.899841,999,3.100478
-47.377122,999,5.03212
-47.860968,999,5.975888
-41.792375,999,8.011229
-42.414984,999,8.670579
-37.490485,999,10.554108
68.6861,822,11.081527
63.644527,974,12.917203
-38.145167,999,13.572804
66.243671,889,15.335599
-37.706247,999,16.00073
76.262043,655,16.416142
76.710478,603,18.000341
89.742115,247,18.164247
80.867553,480,18.480248
84.793961,381,18.720075
83.307244,431,20.165567
77.971639,567,20.5824
87.482783,329,20.805655
78.238552,596,21.191939
85.000654,422,21.456342
88.904922,291,22.832295
89.59337,246,23.00616
85.210069,393,23.273848
73.364533,719,23.73903
84.573384,419,24.006494
85.340056,378,25.514568
87.06416,345,25.752474
85.757456,374,26.002045
85.633612,360,26.236498
83.337183,426,26.501575
87.341701,326,27.906121
87.54273,301,28.130747
88.652657,305,28.34192
82.460096,427,28.625483
85.038862,378,28.867052
86.302495,318,29.071698
82.29806,415,30.508478
86.104692,315,30.734807
87.375508,314,30.948996
88.881111,263,31.118705
85.548892,352,31.346836
84.365005,375,31.58286
91.156206,234,32.873488
86.84261,331,33.13166
88.177092,293,33.338964
88.459957,271,33.522006
82.995301,424,33.793523
92.967128,201,33.930672
87.799533,308,34.128437
81.261154,500,35.717802
87.585528,325,35.946184
90.976218,198,36.081343
87.644913,321,36.288335
85.500744,384,36.532624
89.582126,281,36.715483
88.270636,273,38.03876
89.127354,263,38.24363
83.017247,418,38.535924
90.045942,248,38.697515
87.737073,319,38.905668
86.522054,324,39.113607
90.16916,243,39.266417
87.976882,305,40.65588
87.442609,315,40.887351
85.135234,353,41.131601
90.813241,223,41.274913
88.086926,276,41.45397
88.86117,278,41.635237
90.238619,218,41.772797
90.998501,203,41.898668
91.002217,226,43.204608
93.09539,157,43.322183
93.713982,146,43.426962
93.036399,154,43.533918
88.035972,249,43.702483
91.521548,223,43.845416
91.559112,197,43.971145
91.158958,196,44.100405
87.396173,290,44.28159
92.766359,162,44.383294
93.287839,157,45.671466
92.546022,148,45.788416
90.578789,218,45.953089
87.985579,262,46.132835
89.914822,220,46.286371
92.769822,157,46.390795
90.827111,180,46.507977
92.0266,177,46.623186
88.372986,281,46.803406
89.049061,246,46.953901
89.094608,245,48.282822
93.023799,150,48.400256
90.098047,233,48.568317
91.778835,153,48.673715
89.225126,226,48.827246
91.099905,215,48.969756
88.13768,285,49.157112
92.841039,151,49.25387
91.094977,194,49.374614
90.091806,238,49.520339
91.473519,191,50.820787
90.711865,199,50.974421
92.926837,155,51.086983
91.610007,197,51.223359
93.352892,152,51.325575
89.404577,233,51.473596
92.003033,185,51.596013
90.27024,218,51.734571
93.335194,153,51.831313
92.402056,151,51.925607
93.86162,125,52.003741
91.413694,180,53.273949
87.659982,262,53.490221
91.038479,195,53.629954
92.152431,150,53.756791
92.113596,147,53.874973
92.761291,175,54.003316
90.186209,169,54.12222
91.392007,146,54.222235
93.267655,143,54.31881
92.175552,162,54.424306
92.64874,158,54.526824
91.487184,155,54.627895
91.654405,154,54.725114
91.591157,153,56.00347
94.273374,116,56.090997
94.247213,117,56.179585
91.863493,151,56.287134
91.061732,192,56.422902
90.112454,185,56.546726
94.153698,120,56.624594
88.405422,240,56.777947
91.910374,148,56.873634
91.526372,152,56.970698
93.443075,133,57.054758
90.736149,213,57.186986
90.247306,181,58.464303
90.949249,175,58.611006
94.251402,108,58.694666
93.747995,116,58.777678
90.394191,153,58.885297
91.193181,155,58.992911
92.242608,136,59.085286
94.185417,127,59.168885
92.297018,153,59.26898
92.401994,153,59.36861
92.802007,148,59.464892
91.467558,192,59.58506
92.789874,151,59.680146
90.46859,185,59.795084
91.134539,144,61.104276
93.859671,121,61.200119
93.044136,118,61.28914
91.200119,151,61.395193
90.072142,163,61.508658
93.076184,128,61.597249
94.744137,77,61.646769
95.145737,84,61.703899
91.645263,147,61.799802
92.273045,150,61.896155
93.162666,110,61.964774
93.374764,129,62.044932
95.438831,85,62.101437
88.140809,212,62.236629
91.542376,164,62.338965
91.088058,147,63.56622
95.326059,81,63.632569
89.975733,169,63.761629
89.981852,148,63.874318
91.432261,148,63.978894
91.227489,159,64.086858
91.672857,145,64.183041
94.033874,107,64.255075
93.776462,110,64.327188
95.408498,91,64.384999
92.266846,146,64.479145
93.079408,113,64.552285
90.335002,172,64.66179
90.961242,147,64.753415
89.653672,159,64.852122
91.256855,147,66.080959
95.213781,77,66.143221
93.595305,113,66.232611
90.775106,148,66.34287
93.904033,113,66.42611
94.462821,82,66.481719
95.147879,79,66.538926
90.157365,154,66.644103
95.085498,82,66.699282
91.460666,136,66.787815
92.90562,107,66.858438
90.270705,154,66.959199
93.473601,112,67.032546
95.116482,81,67.082679
91.356127,153,67.181843
88.229986,223,67.322001
92.83192,113,67.390043
90.795963,146,68.65223
94.682714,78,68.711619
93.036384,113,68.79668
94.479577,79,68.858435
94.589419,78,68.913593
94.570909,89,68.979791
94.497176,87,69.036488
89.827363,163,69.146646
94.937545,78,69.201955
94.242982,78,69.250994
93.06225,114,69.32694
91.022411,138,69.416224
93.380908,106,69.484978
94.620225,75,69.530285
90.881727,146,69.623559
94.557183,79,69.674703
90.683881,161,69.775845
90.737643,146,69.864325
95.023843,76,69.91391
94.632508,90,69.967329
89.106817,156,71.302552
93.548015,107,71.387731
91.057479,156,71.503186
92.730965,118,71.58964
92.743126,104,71.663829
94.783513,92,71.726273
90.961259,132,71.813392
94.384908,78,71.868843
94.689869,85,71.921843
94.510435,74,71.973979
94.599872,79,72.022304
94.155471,78,72.076154
93.452196,120,72.154715
92.173578,120,72.228211
90.061729,145,72.319921
94.643995,76,72.370149
94.861956,77,72.415985
90.019992,147,72.508615
94.628261,75,72.558743
94.935081,78,73.750375
92.025914,103,73.835486
94.495817,73,73.897239
94.384714,76,73.954771
94.395757,87,74.021134
93.697193,97,74.089587
94.329238,74,74.144681
89.910942,147,74.24667
94.777218,76,74.297733
89.933634,138,74.388522
89.310428,152,74.490503
89.365377,156,74.590326
93.985901,95,74.654724
92.522096,123,74.736413
90.342829,138,74.826852
94.404591,76,74.872038
94.480923,76,74.922459
88.158662,191,75.041395
89.88222,147,75.132429
94.110585,78,76.331063
94.069522,79,76.39552
92.072268,103,76.476022
94.328052,77,76.529786
93.118977,103,76.605866
90.517161,132,76.699755
91.599269,125,76.786056
93.922279,78,76.836857
94.140854,88,76.897488
94.468444,81,76.948941
93.920346,82,77.005496
92.483377,108,77.074198
94.213312,73,77.1213
94.661881,75,77.169572
93.716648,82,77.22277
88.880201,148,77.317875
92.437886,117,77.392662
94.28209,76,77.438022
90.264037,140,77.526087
94.193044,79,77.573032
94.421034,74,77.622247
87.996033,154,78.891486
88.026815,156,79.013883
88.412816,147,79.127331
88.922085,149,79.234663
88.259033,151,79.338609
91.927212,99,79.404845
87.504667,171,79.5181
93.987205,80,79.573604
92.401228,115,79.648865
94.276953,73,79.694608
93.840963,72,79.74112
88.006716,165,79.846914
93.902449,76,79.894215
87.317896,162,79.995454
93.896637,76,80.040745
94.101314,76,80.09066
93.839712,74,80.134703
93.785496,80,80.186852
91.775244,103,81.41905
91.507559,110,81.505136
93.699215,73,81.559369
94.031521,73,81.616359
90.232046,138,81.716397
93.877903,78,81.768749
92.230835,103,81.841577
91.635263,105,81.91364
93.640909,80,81.964911
93.512857,76,82.016801
91.929805,102,82.080271
93.678303,73,82.129781
93.273701,90,82.18535
93.980917,75,82.235837
89.186773,151,82.334041
94.074088,73,82.377662
92.19208,109,82.449399
93.561925,86,82.500757
94.288204,75,82.551966
88.985448,139,82.63996
93.757592,76,82.685853
89.886784,140,84.033332
93.845346,82,84.100253
93.876101,74,84.154807
89.598426,141,84.262276
94.164125,72,84.314882
92.745354,106,84.3915
94.111785,76,84.441838
94.205265,80,84.499184
93.69976,74,84.546578
93.391334,76,84.59942
87.879941,151,84.698381
93.639489,73,84.743488
93.863436,85,84.800444
94.12375,75,84.847551
94.44765,73,84.896718
93.912397,76,84.943717
89.249642,138,85.032042
88.650803,149,85.126404
93.658989,75,85.171537
94.244067,75,85.221383
93.656094,74,85.26641
91.160612,115,85.339819
88.669496,148,86.599562
93.537708,73,86.658881
93.72876,74,86.712876
93.975582,78,86.773165
93.902783,76,86.826327
93.445635,84,86.888019
93.681322,77,86.942258
89.939149,134,87.031866
93.551283,78,87.087331
89.260003,142,87.181517
94.10875,78,87.230505
93.83461,75,87.280782
93.634441,85,87.333024
93.829696,72,87.38362
93.795704,73,87.429
93.503772,74,87.47942
93.376179,74,87.524895
93.648807,75,87.578023
93.684608,74,87.623064
93.770847,81,87.676193
93.756576,77,87.722311
93.472105,75,87.771547
93.641805,74,87.816447
93.984212,73,87.862424
93.843662,75,89.070061
93.166642,76,89.136127
93.582642,75,89.194558
87.862454,152,89.310592
93.704865,75,89.363418
93.463667,74,89.417535
93.619072,78,89.470743
93.468239,76,89.525384
93.378273,74,89.573872
93.597651,73,89.624654
93.575694,77,89.673704
93.467406,73,89.724656
93.488692,76,89.772755
93.434365,75,89.82239
93.487632,74,89.868858
93.390947,75,89.917484
93.711799,76,89.966248
93.530507,74,90.013819
93.767976,75,90.061524
93.311348,75,90.106413
94.067959,79,90.158346
93.59036,75,90.203621
93.814967,77,90.254188
93.946728,76,90.299865
93.422871,73,90.347283
93.486839,75,90.39209
93.310574,75,90.439496
93.617572,75,91.636856
93.640436,74,91.698593
93.440521,73,91.75217
93.761844,74,91.810697
93.446494,76,91.866336
93.690895,74,91.919526
93.797793,80,91.976219
93.24795,76,92.02874
93.11345,76,92.082661
93.163813,77,92.134153
93.362054,75,92.18565
93.652861,74,92.233943
93.569633,73,92.282242
93.295532,76,92.331223
93.220426,76,92.380286
93.371213,77,92.430974
93.686227,74,92.478971
93.267227,75,92.528673
93.481172,77,92.574847
93.239602,75,92.625882
93.397301,75,92.670745
93.508234,74,92.719167
93.705736,76,92.764742
93.659056,74,92.813073
93.495421,82,92.861966
93.602119,74,92.911034
93.333119,76,92.956392
92.021463,104,94.265036
93.488536,80,94.325379
93.797791,74,94.385861
93.992514,76,94.443223
94.054023,74,94.496937
93.446482,73,94.551986
93.660277,80,94.606915
93.449745,75,94.660949
93.499182,74,94.709371
93.800816,74,94.761882
93.729002,73,94.809065
93.491353,74,94.860911
93.600856,76,94.909945
93.55827,76,94.961641
93.192524,76,95.009669
93.469537,74,95.058624
93.546588,75,95.107033
93.775863,72,95.154152
93.300542,75,95.201484
93.727915,74,95.245748
93.561331,73,95.294085
93.67146,72,95.337315
93.68526,72,95.384938
93.369545,74,95.429089
93.743561,76,95.478814
93.831629,73,95.522296
93.38112,74,95.568746
93.467472,74,96.78053
93.943265,74,96.8412
93.576181,75,96.895478
93.239505,75,96.954634
93.34005,74,97.00929
93.374368,79,97.065334
93.526197,74,97.118393
93.794233,80,97.172363
93.900475,81,97.230183
93.302259,74,97.278039
93.223996,75,97.329826
93.816641,73,97.37649
93.32148,75,97.428304
87.23636,153,97.525519
93.782767,73,97.571453
94.226491,74,97.619636
93.775029,75,97.667867
93.363495,74,97.713094
93.808204,73,97.760771
93.648656,74,97.804701
93.69826,72,97.852894
93.476878,76,97.89818
93.666488,74,97.946583
94.1743,76,97.993654
93.513957,74,98.041814
93.575743,73,98.085541
88.193629,145,99.340848
93.632677,72,99.398717
93.841967,75,99.452539
93.389859,73,99.508661
93.442136,75,99.560952
93.179441,74,99.615526
93.505135,79,99.668385
93.508725,74,99.721683
93.359136,74,99.769773
93.486613,80,99.826858
93.269379,75,99.874395
93.564944,73,99.925591
93.872219,77,99.974224
93.390836,74,100.025192
93.243727,74,100.069924
93.448649,75,100.120337
93.445682,72,100.163837
93.306777,74,100.21332
93.327437,74,100.25809
93.277209,74,100.306501
93.421535,73,100.349787
93.402238,73,100.39505
93.502429,73,100.440221
93.393051,73,100.482982
93.114593,73,100.531105
93.374404,72,100.573343
93.155273,74,100.621146
93.694371,75,101.804047
94.034111,75,101.866119
93.536398,72,101.918212
93.359757,73,101.976834
93.327573,74,102.028394
93.386699,73,102.084593
93.238719,75,102.134701
93.223561,76,102.19115
93.142048,75,102.242228
93.103627,76,102.294638
93.188681,76,102.345313
93.586938,74,102.393828
93.358923,72,102.438954
93.420697,73,102.488636
93.628973,73,102.532794
93.810521,72,102.581532
93.459796,72,102.625038
93.305059,73,102.673616
93.292741,75,102.719164
93.174635,74,102.767425
93.078381,74,102.811594
93.559512,72,102.856049
93.102203,73,102.901029
93.152119,75,102.94509
93.716554,77,102.994873
93.668753,73,103.037372
93.517826,73,103.084605
93.213733,75,103.128609
93.503447,73,104.327382
93.593674,72,104.381873
93.679757,76,104.44224
93.612911,72,104.493028
93.551825,76,104.551135
93.19677,73,104.608433
93.668883,76,104.662662
94.28272,78,104.718584
93.498287,73,104.767615
93.403937,73,104.817315
93.489407,73,104.866338
93.76745,73,104.915931
93.313732,74,104.965008
93.656764,76,105.015031
93.720306,72,105.061088
93.794001,78,105.108619
93.158133,74,105.159202
93.223714,75,105.204939
93.402919,73,105.253627
